departure	ежьэжыныгъэ
depend	епхауэ щытын
depend	елъытауэ щытын
deploy	зэкӀуэцӀыхын
deposit	хэлъхьэныгъэ
deposit	хэлъхьа
depressed	нэщхъей
depression	ехуэхыныгъэ
depth	куууагъ
describe	тетхыхьын
description	къэтхъыхьын
desert	къум
deserve	къэлэжьын
design	проектировэннэ
design	дизайн
designation	дамыгъэ тещӀэныгъэ
desire	хъуэпсэныгъэ
desire	щӀэхъуэпсын
desk	стӀол
despair	гужьеигъуэ
desperate	Ӏэмалыншэ
despite	абы емыплъу
dessert	шхыныгъуэ ӀэфӀ
destination	здызэхуэзэн щӀыпӀэ
destiny	ӀуэхузэхэлъыкӀэ
destiny	насып
destroy	гъэкӀуэдын
destruction	зэтекъутэныгъэ
detail	пкъырыпкъ
details	зэпкърыхауэ щытыныгъэ
detect	къэгъуэтыжын
determination	тегушхуэныгъэ
determine	къыхэгъэкӀын
determined	хъыжьэ
devastated	мылъкуншэ ящӀа
develop	шэщӀын
developed	зызыужьа
development	зегъэужьын
device	зэхэтыкӀэ
devil	шейтӀан
devoted	пэж
Dhivehi	Дивехэ
diabetes	диабет
diabetes	фошыгъууз
diarrhea	ныбажэ
diary	махуэрытх
diary	дневник
dictionary	псалъалъэ
did	ищӀащ
die	лӀэн
died	лӀащ
diet	диетэ
difference	зэщхьэщыкӀыныгъэ
different	нэгъуэщӀ
difficult	гугъу
dig	къэтӀын
dignity	фӀагъ
diligent	жыӀэдаӀуэ
dinner	пщыхьэщхьэ шхын
dip	хэщӀэн
dip	щӀэгъэмбырыуэн
direct	захуэ
direction	гъэкӀуэныгъэ
director	режиссер
dirt	фӀей
dirty	фӀей
disable	гъэункӀыфӀын
disable	къичын
disable	Ӏучын
disabled	ныкъуэдыкъуэ
disappear	кӀуэдын
disappointed	зэщыгъэуа
disaster	насыпыншагъэ
discard	хыфӀэдзэн
discharge	къыхэгъэщхьэхукӀын
discharge	къыхэгъэщын
discipline	дисциплинэ
discount	кӀэрыгъэхуныгъэ
discover	техын
discrimination	зэхэгъэжыныгъэ
discuss	тепсэлъыхьын
discussion	тепсэлъыхьыныгъэ
disease	уз хэхын
diseases	узхэр
disguise	зыщӀэхъумэныгъэ
disgusting	гущыкӀыгъуэ
dish	шхыныгъуэ
dishes	хьэкъущыкъу
dismiss	мыдэн
dispatch	егъэхьыныгъэ
display	къызытещын
disposal	етӀуанэу къэгъэсэбэпыныгъэ
dispute	дауэ
dispute	зэныкъуэкъу
distance	зэхуаку
distinct	ӀупщӀ
distinguish	зэмыщхьу хэлъыр зыхэгъэкӀын
distress	къулейсызыгъэ хьэлъэ
distribution	тегуэшэныгъэ
district	зэхэщӀыкӀыгъуафӀэ
disturb	гъэгузэвэн
disturb	зэран хъун
ditch	кӀэнауэ
dive	зыщӀэгъэмбрыуэн
diverse	зэмылӀэужьыгъуэ
diversity	зэмылӀэужьыгъуэ
divide	зэкӀэщӀэхын
divine	тхьэпэлъытэ
divorce	зэбгъэдэкӀыжыныгъэ
divorce	зэбгъэдэкӀыжын
dizzy	щхьэр мэуназэ
do	щӀэн
do you	уэ
do you love me	уэ фӀыуэ сыплъагъурэ
do you love me	уэ фӀыуэ сыболъагъу
doctor	дохутыр
document	щыхьэт тхылъ
does	ещӀэ
doesn't	къым
dog	хьэ
Dogri	Догрэ
doing	ещӀэ
doll	гуащэ
domain	иӀэныгъэ
domestic	унагъуэ
dominant	ебэкӀ
don't	хуейкъым
Don't worry	Умыгузавэ
donate	тэн
done	хьэзырщ
donkey	шыд
dope	афиян
double	зэтӀолъхуэныкъуэ
double	тӀукӀэ гъэбэгъуэн
doubt	шэч
doubt	шэч къытехьэн
dough	хупцӀынэ
dough	тхьэв
down	и лъабжьэ
download	илъхьэн
draft	проект гъэхьэзырын
draft	пэрытх
drag	лъэфын
drain	ижыпӀэ
drama	драмэ
draw	сурэт щӀын
drawer	ашык
drawing	сурэт
drawing	ӀэкӀэ щӀа сурэт
dread	шынагъуэ
dream	хъуэпсапӀэ
dream	хъуэпсэн
dress	цӀыхубз щыгъын
dress	бостей
drill	щӀэныгъэ
drink	зэфэ гуэр
drink	ефэн
drive	шэн
drop	ткӀуэпс
drop	ӀэщӀэхун
dropped	Ӏэпыхуащ
drought	уэгъу
drunk	чэф
dry	гъущэ
duck	бабыщ
dude	цӀыху
due	хуэфащэ
due	езэгъ
due to	къыхэкӀкӀэ
dull	узыгъэзэш
dumb	делэ
dumb	акъмыкъ
dump	къедзыхын
dump	хыфӀэдзэн
duration	зэрекӀуэкӀыр
during	а зэманым
dust	сабэ
duty	къалэн
dwell	щыпсэун
dying	лӀэр
dying	зи псэ хэкӀыр
each	дэтхэнэри
each other	зыр зым
eager	зыхуэмышэч
eagle	бгъэ
ear	тхьэкӀумэ
earlier	ипэӀуэкӀэ
early	жьыуэ
earn	къэлэжьын
ears	тхьэкӀумэ
earth	щӀы
earthquake	щӀыхъеиныгъэ
ease	тыншыгъэ
ease	псынщӀагъэ
easily	Тынш
east	къуэкӀыпӀэ
easy	псынщӀэ
easy	тынш
eat	щыӀэщ
eat	шхэн
eating	шхыныгъуэ
eating	ерыскъы
economic	экономическэ
economy	экономикэ
edge	кӀапэ
edit	зэгъэзэхуэжын
edit	хэлэжьыжыхьын
education	щӀэныгъэ
effect	къыщыхъуныгъэ
effective	сэбэп хъу
efficiency	мыхьэнэуэ хэлъыр
efficient	сэбэп хъу
effort	гъэлъэщыныгъэ
egg	джэдыкӀэ
eggplant	и фэкӀэ морэу и щытыкӀэкӀэ нащэм ещхь хадэхэкӀ
eggplant	баклажан
ego	щхьэзыфӀэфӀыныгъэ
eight	и
eighteen	пщыкӀуий
eighty	ищӀ
either	е
elaborate	гугъу
elbow	ӀэфракӀэ
elder	нэхъыжь
elderly	тӀорысэ
elderly	зи ныбжь хэкӀуэта
elegant	щӀыкӀафэ
element	Ӏыхьэ
elephant	пыл
eleven	пщыкӀуз
eligible	хуитыныгъэ зиӀэ
eliminate	гъэкӀуэдын
else	апхуэдэу
embarrassed	укӀыта
embarrassing	мыӀэкӀуэлъакӀуэ
embrace	къэщтэн
emerge	къэхутэн
emerge	къыкъуэкӀын
emergency	пӀащӀэгъуэ
emotional	зыхэзыщӀэ
emotional	щхьэрыжэ зыщӀ
empathy	цӀыхум и гурыгъу-гурыщӀэр дэӀыгъын
emphasis	гулъытэ хэха зыгуэрым етын
emphasis	бзэм щыщӀагъэ хэлъу псэлъэныгъэ
emphasize	къыхэгъэщын
emphasize	къыхэгъэбелджылыкӀын
employee	лэжьакӀуэ
employees	лэжьакӀуэ
employer	лэжьапӀэт
employment	лэжьапӀэ уиӀэныгъэ
empty	нэщӀ
enable	щӀэгъэнэн
encounter	хуэзэн
encounter	къегъэблагъэн
encourage	гъэгушхуэн
end	кӀэух
end	кӀэ
endangered	кӀуэд
endangered	бзэх
endeavor	къару щӀэлъхьэныгъэ
endeavor	егугъуныгъэ
endurance	бэшэчагъ
endure	къыщӀэхын
enemy	жагъуэгъу
energy	къару
engage	хэшэн
engaged	хущӀэмыхьэ
engaged	яубыда
engagement	хэтыныгъэ
engine	зезыгъакӀуэ
engineer	ухуакӀуэ
English	Иджылыбзэ
enhance	егъэфӀэкӀуэн
enjoy	гур хэхъуэн
enormous	инышхуэ
enough	ирикъу
ensure	зыхуейр хуэгъзэн
enter	щӀыхьэн
enter	хыхьэн
entertainment	нэгузегъэужьыныгъэ
enthusiasm	гурэ псэкӀэ Ӏуэхум бгъэдэтын
enthusiastic	дихьэха
entire	псо
entitled	хуитыныгъэ иӀэщ
entity	купщӀэ
entrance	щӀыхьэпӀэ
entrepreneur	хьэрычэтыщӀэ
envelope	письмоулъэ
environment	къэзыухъуреихь дуней
envy	ефыгъуэн
epic	эпическэ
epic	сабыр
epidemic	уз зэрыцӀалэм зиубгъуныгъэ
epidemic	эпидемие
equal	хуэдэ
equipment	къызэгъэпэщын
equity	зэхуэдэныгъэ
equivalent	зэпэбж
eraser	хьэфэтегъэкӀ
error	щыуагъэ
escape	щӀэпхъуэжыныгъэ
especially	псом хуэмыдэу
essay	сочиненэ
essence	мыхьэнэ
essence	купщӀэ
essential	узыхуэныкъуэ
establish	тегъэувэн
established	къэгъэхъуа
estate	помещикым и ӀэмыщӀэ илъ щӀы
estimate	къэлъытэн
estimated	бжа
etc	нэгъу
eternal	зэпымыу
eternal	мыкӀуэдыж
ethics	гъэсэныгъэ
evaluate	пщӀэ хуэгъэувын
evaluate	уасэ хуэщӀын
evaluation	оценкэ
even	уеблэмэ
even though	пэтми
evening	пщыхьэщхьэ
event	къэхъукъащӀэ
eventually	ипкъ иткӀэ
ever	дапщэщи
ever	сыт щыгъуи
every	дэтхэнэри
everybody	псори
everyone	псори
everything	псори
evidence	щыхьэт
evil	Ӏей
evolution	эволюцэ
evolve	зыужьын
Ewe	Эвэ
ex	щыта
exact	техуэпс
exact	хуэдэпс
exactly	хуэфӀыпс
exactly	хуэдэ
exam	къэпщытэныгъэ
exam	экзамен
examine	еплъын
example	щапхъэ
exceed	щӀегъэгъун
excellent	фӀы дыдэ
except	абы нэмыщӀ
exception	къыхэдзыныгъэ
excess	лей
excessive	егъэлея
exchange	хъуэжыныгъэ
excited	гузавэ
excitement	гузавэ
exciting	узэщӀэзыубыдэ
exclusive	хэха
excuse	хей щӀыныгъэ
excuse	щыхьэтлыкъ
excuse me	къысхуэгъэгъу
execute	гъэзэщӀэн
execution	укӀ
execution	щхьэр пылъэныгъэ
executive	зыгъэзащӀэ
exercise	зегъэужьын
exercise	зегъэужьыныгъэ
exhaust	къарууншэ щӀын
exhausted	езэша
exhibit	музейм щӀэт хьэпшып
exhibition	гъэлъэгъуэныгъэ
exhibition	гъэлъэгъуапӀэ
exist	псэун
existence	щыӀэныгъэ
existing	щыӀэ
exit	щӀэкӀыпӀэ
exit	къыдэкӀыныгъэ
expand	убгъун
expect	ежьэн
expected	зэжьэ
expenses	гъэкӀуэдыныгъэ
expensive	лъапӀэ
experience	щыгъузэныгъэ
experience	зэхэщӀэн
experiment	гъэунэхуныгъэ
expert	эксперт
expert	Ӏуэхум хэзыщӀыкӀ
expired	зи пӀалъэ блэкӀа
explain	гурыгъэӀуэн
explanation	гурыӀуэныгъэ
exploit	гъэпщылӀын
exploit	зыщӀэубыдэжын
explore	къэпщытакӀуэ
export	сату ӀуэхукӀэ къэралым ираш хьэпшыпхэр
export	экспорт
expose	къызэщӀэгъэстын
exposed	Ӏуха
exposed	зэӀуха
exposure	хэлэжьыхьын
express	къикӀын
express	жыӀэн
expression	жыӀэкӀэ
extend	пыщэн
extended	убгъуа
extension	гъэӀэбэн
extent	зэрыхъур
extent	зыдынэсыр
external	теплъэ
extinct	щымыӀэж
extra	щӀыгъу
extract	къыхэхын
extraordinary	зыми емыщхь
extreme	тегушхуэныгъэ егъэлея зыхэлъ
extremely	мыхьэнэшхуэ зиӀэ
eye	нэ
eyes	нэ
fabric	щэкӀ
fabulous	гъуэзэджэ
face	зэпэщӀэуэныгъэ
face	нэкӀу
facilitate	сэбэп хъун
facilities	объектхэр
facilities	щӀыпӀэхэр
facility	зэхэтыныгъэ
fact	факт
factor	Ӏуэхугъуэ
factory	завод
facts	щыхьэтхэр
fade	ункӀыфӀын
fade	ужьыхын
fail	къемыхъулӀэныгъэ шэчын
fail	къемыхъулӀэныгъэ
failed	къемыхъулӀа
failure	кӀуэцӀрыхун
faint	къарууншэ
fair	пэж
fair	нэху
fairly	куэд
fairly	арэзыуэ
fairy	тхьэӀухуд
faith	фӀэщхъуныгъэ
faithful	пэж
fake	нэпцӀ
fall	ехуэныгъэ
fall	джэлэныгъэ
fall	джэлэн
false	ПЦӀЫ
fame	фӀыщӀэ
familiar	цӀыхугъэ
family	унагъуэ
famine	гъаблэ
famine	мэжэлӀэныгъэ
famous	цӀэрыӀуэ
fan	фӀыуэ къэзылъагъу
fan	жьыху
fancy	къызэрымыгуэкӀ
fantastic	хьэлэмэт
far	жыжьэ
farewell	сэлам зэхыжыныгъэ
farm	псэущхьэхэр щызэрахьэ щӀыпӀэ
farmer	бэджэнду зыӀыгъ
fascinating	гъэщӀэгъуэн
fashion	щӀэуэ къежьа
fast	псынщӀэ
fat	пшэр
fatal	лӀэныгъэ зыхэлъ
fatal	тхьэм иухауэ щыт
fate	натӀэм ит
fate	насып
father	адэ
fatigue	ешын
fault	къуаншагъэ
favorite	фӀылъагъупӀэ
favorite	фӀыуэ ялъагъу
favour	Ӏуэхутхьэбзэ
favourite	щӀасэ
favourite	фӀыуэ ялъагъу
fear	шынэ
fear	шынэн
feast	ефэ-ешхэ
feast	санэхуафэ
feather	къабзий
feather	къалэм
feature	щӀэгъэнэн
feature	гъунапкъэ
features	къызэрыхэщхьэхукӀ
february	мазае
fed up	тэмакъым щызщ
fee	пщӀэ
feed	гъэшхэн
feedback	пэджэжыныгъэ
feel	зэхэщӀыкӀын
feeling	гухэлъ
feet	лъэдакъэ
fell	джэлащ
fellow	щӀалэ
felt	цей
felt	шухьэ
female	бзы
fence	бжыхь
fertile	гъавэ бэв къыщыкӀ
festival	фестиваль
fetch	къэхьын
fever	техьэгъуэ
few	тӀэкӀу
fewer	нэхъ мащӀэ
fiance	финансхэр
fiction	къэгупсыса
field	губгъуэ
fierce	губжьа
fifteen	пщыкӀутху
fifty	тхущӀ
fight	зэзауэ
fight	зэуэн
fighting	зауэм епха
fighting	лӀыгъэ зыхэлъ
figure	пкъыгъуэ
figure	къыхэхын
figure out	зэхэгъэкӀын
file	файл
fill	итхэн
filled	итха
filled	щӀэз
film	пленкэ
film	фэпс
film	фэ пӀащӀэ
filthy	фӀей
finally	иджыкӀэ
finance	финанс
financial	финансэвэ
find	къэгъуэтын
find out	зэхэгъэкӀын
fine	фӀы
fine	тезыр
finger	Ӏэпэ
finger	Ӏэпхъуамбэ
finish	кӀэух
finished	уха
finished	кӀэ зэта
fire	мафӀэ
firm	быдэ
firm	фирмэ
first	япэ
first name	цӀэ
fish	бдзэжьей
fit	бгъэдыхьэн
five	тху
fix	зэгъэзэхуэжын
fixed	мыхъей
flag	нып
flash	къэлыдыныгъэ
flash	къэунэхуныгъэ
flat	захуэ
flat	фэтэр
flaw	ныкъусаныгъэ
flaw	щыщӀагъэ
flawless	дагъуэншэ
flee	щӀэпхъуэжын
flesh	пкъы
flew	лъэтат
flex	къэгъэшын
flexible	лантӀэ
flight	лъэтэныгъэ
flip	зэгъэзэнкӀын
flirt	зыкъыпегъэхын
flirting	зыкъыпегъэхыныгъэ
float	есын
flood	псыдзэ
flood	псыкъиу
floor	лъэгу
flour	хьэжыгъэ
flow	ежэхын
flow	псы уэр
flower	удз гъэгъа
flu	псчэ Ӏэпкълъэпкъ
fluent	щӀэпхъуэжа
fluently	псынщӀэу
fluffy	цы щабэ
fluid	ткӀуаткӀуэ
fly	лъэтэн
focus	зэхуэхьэсыныгъэ
fog	пшагъуэ
foggy	пшагъуэ
fold	зэгъэлъа
folks	цӀыхухэр
folks	цӀыхубэ
follow	кӀэлъыкӀуэн
follow up	кӀэлъыплъын
following	къыкӀэлъыкӀуэр
food	шхын
fool	делэ
fool	къэгъэпцӀэн
foolish	делэ
foot	лъапэ
football	топджэгу
for	щхьэ
For example	Псалъэм папщӀэ
for instance	псалъэм папщӀэ
for you	уэ щхьэ
forbidden	зыхуимыт
force	къару
forecast	хуэгъэфэщэныгъэ
forehead	натӀэ
foreign	хамэ
forest	мэз
forever	игъащӀэкӀэ
forget	зыщыгъэгъупщэн
forgive	хуэгъэгъун
forgot	щыпщэжащ
fork	гуахъуэ
form	щытыкӀэ къегъэщтэн
form	щытыкӀэ
formal	формальнэ
former	щыӀа
former	щыта
fortunately	насыпти
fortune	щытыкӀэ
forty	плӀыщӀ
forty-two	плӀыщӀрэ тӀу
forward	япэкӀэ
foster	дэгъэпсынщӀэн
fought	зэуащ
found	къэзгъуэтащ
foundation	щӀэдзапӀэ
foundation	лъабжьэ
four	плӀы
fourteen	пщыкӀуплӀ
fox	бажэ
fragile	тӀасхъэ
fragile	къутэгъуафӀэ
frame	гъунапкъэ
framework	лъабжьэ
fraud	пцӀыӀуэпцӀышагъэ
freak	Ӏуплъэгъуей
free	хуит
freedom	хуитыныгъэ
freeze	пӀыщӀэн
freeze	щтын
frequency	къызэрытригъэзэж пӀалъэ
frequent	куэдрэ
frequent	Ней
frequently	куэдрэ
fresh	щӀэ
friday	мэрем
fridge	щӀыӀалъэ
friend	ныбжьэгъу
friendly	ныбжьэгъугъэ
friends	ныбжьэгъу
friendship	зэныбжьэгъуныгъэ
frightened	шына
frightening	зыгъащтэ
frog	хьэндыркъуакъуэ
from	и
front	ипэ
frozen	гъэщта
fruit	пхъэщхьэмыщхьэ
frustrated	къытехьа
fuel	гъэсыныпхъэ
Fulfulde	Фулэ
full	из
fun	гуфӀэгъуэ
function	лэжьэкӀэ
fundamental	куу
fundamental	зэпэщ
funeral	хьэдэщӀэлъхьэ
funny	дыхьэшхэн
fur	псэущхьэц
furious	губжьа
furniture	унэлъащӀэ
further	адэкӀэ
furthermore	абы къыщынэмыщӀауэ
future	къэкӀуэну
gain	фейдэ
gain	къыӀэрыхьэн
game	джэгукӀэ
gap	щӀыпӀэ нэщӀ
garage	машинэхэр зыщӀэтыпӀэ
garbage	пхъэнкӀий
garden	жыг хадэ
garden	сад
garlic	бжьыныху
gate	дыхьэпӀэ
gate	куэбжэ
gather	зэщӀэкъуэн
gathering	зэхуэс
gathering	хасэ
gauge	къэпщын
gave	иритащ
gear	шесторкэшхуэ
gender	гендер
general	зэдай
general	зэхуэдэ
generally	къапщтэмэ
generate	къыдэгъэкӀын
generate	къэгупсысын
generation	щӀэблэ
generous	хьэлэл
genius	егъэлеяуэ акъылыфӀэ цӀыху
genre	жанр
gentle	гуакӀуэ
genuine	зыми къытрамыщӀыкӀа
gesture	Ӏэ щӀыныгъэ
get	Ӏэрыхьэн
get dressed	зыхуэпэн
get up	къэтэджын
get well soon	псынщӀэу зыгъэхъууж
getting	къеӀыхыныгъэ
ghost	хьэдэджадэ
ghosting	тӀуу хъуныгъэ
ghosting	тӀуащӀэ
giant	абрагъуэ
gift	саугъэт
ginger	гъуаплъафэ
girl	хъыджэбз цӀыкӀу
girlfriend	хъыджэбз
give	етын
give up	зытын
given	мы
given	та
glad	арэзы
glance	плъэкӀэ
glass	Ӏэбдж
glasses	нэгъуджэ
glimpse	плъэкӀэ
global	дунейр къызыщӀэзыщтэ
gloomy	кӀыфӀ
gloomy	нэщхъей
gloves	Ӏэлъэ
glow	нэху къыщхьэщихын
glow	нэху
glow up	зэщӀэнэн
glow up	зыгъэлъэгъуэн
glue	шхэпс
go	кӀуэн
go ahead	ипэ уиту кӀуэ
go away	ӀукӀ
go to bed	жеин кӀуэн
goal	нэщэнэ
goal	мурад
goals	нэщанэхэр
goals	мурадхэр
goat	бжэн
god	Алыхь
god bless you	алыхьым ифӀ къыпщыхуэ
goes	макӀуэ
going	къокӀуэ
going	йокӀуэкӀ
going to	зегъэхьэзыр
gold	дыщэ
gone	ӀукӀащ
gonna	зегъэхьэзыр
goo	цӀанлъагъэ
good	фӀы
good	фӀыр
good afternoon	махуэ фӀыуэ
good bye	фӀыкӀэ дызэхузэ
good day	махуэ фӀыуэ
good evening	пщыхьэщхьэ фӀыуэ
good job	лэжьыгъэфӀ
good looking	дахэ
good luck	ехъулӀэныгъэ
good morning	уи пщэддыжь фӀыуэ
good morning my love	уи пщэдджыжь фӀыуэ, фӀыуэ слъагъу
good night	нэхулъэфӀ укъикӀ
goodbye	фӀыкӀэ дызэхузэ
goodnight	нэхулъэфӀ укъикӀ
goods	хьэпшыпхэр
Google	Гугл
Google Translate	Гугл зэдзэкӀакӀуэ
goose	къаз
gorgeous	гъуэзэджэ
gossip	бзэгу зехьэн
gossip	хъыбарыпцӀ Ӏуэтэн
got	къыӀэрыхьащ
got it	къыгурыӀуащ
government	правительствэ
grab	къэубыдын
grade	уасэ хуэщӀын
gradually	хуэм-хуэмурэ
graduate	къыдэгъэкӀын
graduate	къыщӀэкӀын
grain	хьэдзэ
grant	етын
granted	етащ
grapes	жызум
grasp	убыдыкӀэ
grass	удз
grateful	фӀыщӀэ зыщӀ
gratitude	фӀыщӀэ хуэщӀын
grave	кхъэ
gray	щхъуэ
great	дахэ дыдэ
greed	нэпсеигъэ
greed	быдэныгъэ
greedy	нэпсей
green	удзыфэ
greet	къегъэблэгъэн
greeting	къегъэблэгъэныгъэ
greeting	фӀэхъус
greetings	фӀэхъус сэлам
grey	щхъуэ
grid	хъар
grief	нэщхъеягъуэ
grind	хьэжын
grip	убыдыныгъэ
grip	къэпхъуэтэныгъэ
grocery	шхыныгъуэ здащэ тыкуэн
groom	щауэ
gross	Ӏей
gross	цӀапӀэ
ground	щӀы
group	гуп
grow	хэхъуэн
growth	хэхъуэныгъэ
growth	лъэгагъ
grumpy	гъумэтӀымэрей
Guarani	Гуаранэ
guarantee	гъэгугъэн
guard	хъумакӀуэ
guard	плъыр
guess	къэщӀэн
guest	хьэщӀэ
guidance	унафэ зыщӀ
guidance	нэхъыщхьэ
guide	хуэгъэзэн
guide	гъэзэщӏапхъэ
guilty	къуаншэ
guy	щӀалэ
guys	ныбжьыщӀэхэ
gym	спортзал
habit	зэса
habitat	щыпсэу щӀыпӀэ
had	иӀащ
hail	уэ
hair	щхьэц
half	ныкъуэ
hall	пэшышхуэ
hall	зал
hand	Ӏэгу
handle	ручкэ
handsome	дахэ
hang	фӀэлъын
happen	къэхъун
happened	къэхъуащ
happiness	насып
happy	насыпыфӀэ
happy birthday	укъыщалъхуа махуэмкӀэ сынохъуэхъу
happy birthday	къыщалъхуа махуэ
happy birthday to you	Укъыщалъхуа махуэмкӀэ
happy new year	илъэсыщӀэ къихьамкӀэ сынохъуэхъу
hard	ткӀий
hardly	ерагъкӀэ
hardly	къудей
hardly	тӀэкӀукӀэ
hardly ever	зэикӀ къанэ щымыӀэу
harm	зэраныгъэ щӀэн
harm	зэраныгъэ
harmful	зэраныщӀэ
harmony	зэкӀуныгъэ
harsh	ткӀий
harvest	зэхуэхьэсын
harvest	зэхуэгъэсын
has	иӀэщ
hate	теплъэ мыхъуныгъэ
have	диӀэн
have	иӀэн
have a good day	махуэ фӀыуэ
have a nice day	махуэ фӀыуэ
have breakfast	пщэдджьыжьышхэ щӀын
have fun	уи нэгу зегъэужь
have you eaten	уэ ушхащ
have you eaten	уэ ушха
having	зиӀэ
hazard	шынэ
haze	гъуэз
he	ар
he has	абы иӀэщ
he is	ар щытщ
he is	ар хэтщ
head	щхьэ
headache	щхьэ уз
heal	гъэхъужын
healing	еӀэзэныгъэ
health	узыншагъэ
healthy	узыншэ
hear	зэхэхын
heard	зыхэсхащ
heart	гу
heat	кьэхуэбэн
heat	хуабащэ
heaven	уафэ
heavy	хьэлэ
hectic	гужьея
height	лъэгагъ
heir	щӀэинхьыж
heist	къэхъущӀэныгъэ
held	игъын
hell	жыхьэнэмэ
Hello	ФӀэхъус апщий
hello dear	уузыншэ, лъапӀэ
hello how are you	фӀэхъупс апщи, уи Ӏуэхухэр дауэ щыт?
hello how are you doing	сэлам, дауэ ущыт
helmet	таж пыӀэ
help	дэӀэпыкъун
helpful	сэбэп
hence	абы къыхэкӀкӀэ
her	абы
herd	хъушэ
here	мыбдеж
heritage	щӀэин
hesitate	сысын
hesitate	ечэнджэщын
Hey	Ей
Hi	Сэлам
hi how are you	сэлам, дауэ ущыт
Hi there	Сэлам
hidden	гъэпщкӀуа
hide	зыгъэпщкӀун
hierarchy	тепщэныгъэ здэщыӀэ
high	лъагэ
highlight	щӀэтхъэн
highlight	къыхэгъэщын
hike	зекӀуэ
hiking	зекӀуэ кӀуэныгъэ
hilarious	дыхьэшхэн
hill	Ӏуащхьэ
him	ар
him	абы
hint	еӀуэкӀын
hip	куэ
hips	куэхэр
hire	къэщтэн
hiring	лэжьакӀуэщӀэ къэщтэныгъэ
his	и
his	ар
his	абы
history	хъыбар
history	тхыдэ
hit	еууэн
Hmm	Хьм
hobby	хобби
hobby	дихьэхыныгъэ
hold	Ӏыгъын
hold on	зыӀыгъын
hole	гъуанэ
holiday	махууэшхуэ
hollow	нэщӀ
home	унэ
homework	унэ лэжьыгъэ
honest	цӀыху пэж
honestly	пэжу
Honey	ЛъапӀэ
Honey	Фо
honor	напэ
hood	капюшон
hook	къэрэкъэш
hop	дэлъеин
hope	гугъэ
hope	щыгугъын
hopefully	нэхъыфӀ
hopeless	гугъэпӀэншэ
horizontal	щылъу шэщӀа
horn	бжьакъуэ
horrible	гуих
horror	шынагъуэ
horse	шы
hospital	сымаджэщ
hospitality	хьэщӀэ хуэфӀыгъэ
host	къегъэблэгъэн
host	зей
hostile	жэгъуэгъу зыхэлъ
hot	пщтыр
hotel	хьэщӀэщ
hour	сыхьэт
hours	сыхьэт
house	унэ
household	унэгъуэ Ӏуэху
how	дауэ
how about you	уэ-щэ
how are you	дауэ щыт
how are you doing	уи Ӏуэхухэр дауэ щыт
how are you doing today	нобэ дауэ щыт уи Ӏуэхухэр
how are you today	дауэ ущыт нобэ
how do you do	дауэ упсэурэ
how is	дауэ
how many	дапщэ
how much	дапщэ
how often	дауэ щӀэх-щӀэхыу
how old are you	илъэс дапщэ ухъурэ
how was your day	дауэ кӀуа уи махуэр
how was your night	дауэ кӀуа уи пщыхьэщхьэр
however	ауэ
hub	ку
hubby	лӀы
hubby	щхьэгъусэ
hug	ӀэплӀэ
hug	ӀэплӀэ хуэщӀын
huge	инышхуэ
human	цӀыху
humble	нэмысыфӀэ
humid	псыӀэ
humidity	псыӀагъ
hundred	ЩэкӀуэгъуэ
hungry	мэжалӀэ
hunt	ещэкӀуэн
hunt	щэкӀуэн
hurricane	борэн
hurry	пӀэщӀэн
hurry up	зыгъэхъей
hurt	сымэджэн
husband	щхьэгъусэ
hustle	сэбэпыншэ
hustle	зэхэзежэ
hut	тэхъуанэ
hygiene	къабзагъэ
I	Сэ
I am	Сэ сыщытщ
I am fine	Сэ си Ӏуэхухэр тэмэмщ
I can	Сэ схуэщӀэнущ
I can't	Сэ схузэфӀэкӀкъым
I do	Сэ сощӀ
I do not know	Сэ сщӀэркъым
I do not understand	Сэ къызгурыӀуэркъым
I don't	Сэракъым
I don't know	Сэ сщӀэркъым
I don't understand	Сэ къызгурыӀуэкъым
I don't understand what you mean	уэ зи гугъу пщӀыр
I don't understand what you mean	Сэ къызгурыӀуэкръым
I don't understand you	Сэ уэ укъызгурыӀуэркъым
I don’t know	Сэ сщӀэркъым
I don’t understand	Сэ къызгурыӀуэркъым
i guess	хъунщ
I had	Сэ сиӀащ
I have	Сэ сиӀэщ
I have been	Сэ сыщытащ
I have been	Сэ сыщыӀащ
I hope so	Сэ согугъэ
I know	Сэ сощӀэ
I like	Сигу ирохь
I like you	Сэ уэ сигу урохь
I love	Сэ фӀыуэ солъагъу
I love my big brother	Сэ си дэлъху нэхъыжьыр фӀыуэ солъагъу
I love my big sister	Сэ си шыпхъу нэхъыжьыр фӀыуэ солъагъу
I love my father	Сэ си адэр фӀыуэ солъагъу
I love my little brother	Сэ си дэлъху нэхъыщӀэр фӀыуэ солъагъу
I love my little sister	Сэ си шыпхъу нэхъыщӀэр фӀыуэ солъагъу
I love my mother	Сэ си анэр фӀыуэ солъагъу
I love you	Сэ уэ фӀыуэ узолъагъу
I love you so much	Сэ уэ зыкӀэ фӀыуэ узолъагъури
I love you too	Сэри фӀыуэ узолъагъу
I mean	Сэ жыхуэсӀар
I miss you	Сэ уэ сигу укъокӀ
I miss you so much	Сэ зыкӀэ сигу укъэкӀащи
I see	Сэ солъагъу
I think	Сэ согупсыс
I understand	Сэ къызгуроӀуэ
I want	Сэ сыхуейщ
I want to see you	Сэ уэ услъагъуну сыхуейщ
