a	un
far	pell
farewell	kimiad
farm	feurm
farmer	tieg
fascinating	boemus
fashion	giz
fast	yunañ
fast	yun
fast	buan
fat	tev
fat	druzoni
fatal	tonket
fate	tonkad
father	tad
father	engehentiñ
fatigue	skuizhder
fault	faot
favorite	karetañ
favour	madober
favourite	karetañ
fear	aon
fear	kaout aon
feast	fest
feather	plu
feature	perzh
features	perzhioù
february	C'hwevrer
fed up	poazh
fee	priz
fee	skodenn
fee	tell-gastiz
feed	magañ
feedback	distro
feel	santout
feeling	santadenn
feet	treid
fell	diskar
fell	kouezhañ
fellow	keneil
felt	santet
female	parez
fence	kloued
fertile	strujus
festival	festival
fetch	mont da gerc'hat
fever	terzhienn
few	nebeut
fewer	nebeutoc'h
fiance	danvez-pried
fiction	faltazi
field	park
field	domani
field	tachenn
fierce	kriz
fierce	garv
fierce	feuls
fifteen	pemzek
fifty	hanter-kant
fight	en em gannañ
fight	emgann
fighting	emgann
figure	empentiñ
figure	sifr
figure	tudenn
figure out	kompren
figure out	kavout
file	diellaouiñ
file	restr
file	teuliad
fill	leuniañ
filled	leun
film	film
filthy	heugus
finally	a-benn ar fin
finance	arc'hant
financial	arc'hantel
find	kavout
find out	dizoleiñ
find out	kavout
fine	tell-gastiz
fine	mat
finger	biz
finish	echuiñ
finished	echuet
fire	tan
fire	tennañ
firm	kadarn
first	da gentañ
first	kentañ
first name	anv-bihan
fish	pesk
fish	pesketa
fit	dereat
five	pemp
fix	dresañ
fixed	dreset
flag	banniel
flash	luc'hedenn
flat	stabil
flat	plat
flat	ranndi
flaw	si
flawless	disi
flee	tec'hout
flee	kelienenn
flesh	kig
flew	nijet
flex	plegadenn
flex	plegañ
flexible	gwevn
flight	nijadenn
flip	distreiñ
flip	eilpennañ
flip	lamm
flirt	dousetiñ
flirting	o kudenniñ
float	bezañ war-neuñv
flood	dour-beuz
floor	pondalez
floor	estaj
floor	leur
flour	bleud
flow	redek
flow	red
flower	bleunienn
flu	grip
fluent	flour
fluently	flour
fluffy	blot
fluffy	levn
fluid	berus
fluid	liñvenn
fly	nijal
fly	kelienenn
focus	sipañ e spered
fog	latar
foggy	latarek
fold	plegañ
folks	tudoù
follow	heuliañ
follow up	heuliañ
following	da-heul
food	boued
fool	foll
fool	touellañ
foolish	sot
foot	troad
football	mell-droad
for	evit
For example	Da skouer
for instance	da skouer
for you	evidoc'h
forbidden	difennet
force	nerzh
forecast	diawelet
forecast	rakwelet
forecast	diaweladenn
forehead	tal
foreign	estren
forest	koad
forever	da viken
forget	disoñjal
forgive	pardoniñ
forgot	disoñjet
fork	kroashent
fork	fourchetez
fork	skalf
form	stumm
form	furmskrid
form	stummañ
formal	furmel
former	bet
fortunately	dre eurvad
fortune	peadra
fortune	eurvad
forty	daou-ugent
forty-two	daou ha daou-ugent
forward	war-raok
forward	kas pelloc'h
foster	magañ
fought	stourmet
found	kavet
foundation	diazezadur
four	pevar
fourteen	pevarzek
fox	louarn
fragile	bresk
frame	stern
framework	framm
fraud	touell
fraud	felliezh
freak	istrogell
free	dieub
free	evit netra
free	dieubiñ
freedom	frankiz
freeze	rev
freeze	skornañ
frequency	reoliegezh
frequent	alies
frequently	alies
fresh	fresk
friday	Gwener
fridge	yenerez
friend	mignon
friendly	gant mignoniezh
friends	mignoned
friendship	mignoniezh
frightened	spouronet
frightening	spouronus
frog	ran
from	a-berzh
from	eus
front	tal
frozen	skornet
fruit	frouezh
frustrated	frustret
fuel	trelosk
fuel	atizañ
Fulfulde	foulaeg
full	leun
full	klok
fun	fent
function	arc'hwel
fundamental	diazez
funeral	obidoù
funny	fentus
fur	feur
furious	fuloret
furniture	arrebeuri
further	pelloc'h
furthermore	a zo muioc'h
future	dazont
gain	gounit
game	c'hoari
gap	toull
garage	karrdi
garbage	lastez
garden	liorzh
garlic	kignen
gate	kloued
gather	strollañ
gathering	emvod
gauge	jaoj
gauge	priziañ
gear	rod dantek
gear	dafar
gear	gwikefre
gender	jener
general	hollek
general	jeneral
generally	dre-vras
generate	genel
generation	rummad
generous	brokus
genius	den speredek-dreist
genre	jener
gentle	jentil
genuine	gwirion
gesture	jestr
get	tapout
get dressed	laka da zilhad
get up	sevel
get well soon	mont war well buan
ghost	tasmant
ghosting	gouleier displann
giant	ramz
gift	prof
ginger	jinjebr
girl	plac'h
girlfriend	mignonez
give	reiñ
give up	dilezel
given	roet
glad	plijet
glance	sell
glass	gwerenn
glasses	lunedoù
glimpse	spurmantiñ
global	hollek
gloomy	teñval
gloves	manegoù
glow	skediñ
glow up	skedus
glue	peg
go	mont
go	kae
go ahead	bec'h dezhi
go away	kae kuit
go to bed	kae da gousket
goal	pal
goals	palioù
goat	gavr
god	doue
god bless you	Doue d'ho pennigo
going	o vont
going to	o vont da
gold	aour
gone	aet
goo	gel
goo	glud
good	mat
good afternoon	endervezh mat
good bye	kenavo
good day	deiz mat
good evening	noz vat
good job	labour mat
good looking	neuziet kaer
good luck	chañs vat
good morning	demat
good morning my love	demat labousig
good night	noz vat
goodbye	kenavo
goodnight	noz vat
goods	madoù
Google	Google
Google Translate	Google Treiñ
goose	gwaz
gorgeous	kaer-kenañ
gossip	latenniñ
got	bet
got it	intentet
government	gouarnamant
grab	tapout krog e
grade	derez
gradually	pazenn-ha-pazenn
graduate	tapout e ziplom
grain	greun
grant	grataat
grant	yalc'had
granted	grataet
granted	lakaomp
granted	asantet
grapes	rezin
grasp	tapout krog en un dra bennak
grass	geot
grateful	anaoudek
gratitude	anaoudegezh vat
grave	grevus
grave	bez
gray	gris
great	dreist
great	meur
greed	c'hoantegezh
greedy	pizh-skragn
green	ekologel
green	glasvez
green	gwer
greet	saludiñ
greeting	salud
greetings	gourc'hemennoù
grey	gris
grid	kael
grid	rouedad
grief	glac'har
grind	malañ
grip	stardañ
grip	tapout krog
grip	dornell
grocery	ispiserezh
groom	danvez-pried
groom	pried
groom	ober war-dro
gross	heugus
gross	kriz
gross	splann
ground	leur
group	strollad
grow	kreskiñ
grow	kresk
growth	kresk
grumpy	gouerous
Guarani	guaranieg
guarantee	gwarantiñ
guard	gward
guess	divinout
guest	ostiz
guidance	alioù
guidance	linenn-stur
guide	heñchañ
guide	heñcher
guilty	kablus
guy	paotr
guys	paotred
gym	embregerezh-korf
gym	jiminas
habit	boaz
habitat	annez
had	bet
hail	grizilh
hair	blev
half	hanter
hall	hall
hand	dorn
handle	embreger
handsome	mistr
hang	krougañ
hang out	kantren
happen	c'hoarvezout
happened	c'hoarvezet
happiness	eürusted
happy	laouen
happy birthday	deiz-ha-bloaz laouen
happy birthday to you	deiz-ha-bloaz laouen deoc'h
happy new year	bloavezh mat
hard	kalet
hardly	a-boan
hardly ever	koulz lavaret morse
harm	gloazañ
harm	gloazadur
harmful	gloazus
harmony	kendoniezh
harsh	garv
harvest	eost
has	en deus
hate	kasoni
have	hon eus
have a good day	devezh mat
have a nice day	devezh mat deoc'h
have breakfast	leinañ
have fun	kaout plijadur
have you eaten	ha debret ez peus
hazard	arvar
haze	displann
haze	moged
haze	brumenn
he	eñ
he has	eñ en deus
he is	eñ zo
head	penn
head	mont war-zu
head	kadoriañ
headache	poan-benn
heal	pareañ
healing	pareañ
health	yec'hed
healthy	yac'h
hear	klevet
hear	klevet anv
hear	deskiñ
heard	klevet
heart	kalon
heart	kreiz
heat	gwrez
heat	tommañ
heaven	neñv
heavy	pounner
hectic	trubuilhus
height	ment
height	uhelder
height	barr
heir	hêr
heist	laerezh
held	miret
held	aozet
held	dalc'het
hell	ifern
Hello	Salud deoc'h
hello dear	salud bihan
hello how are you	salud penaos emañ kont
hello how are you doing	demat penaos emañ kont
helmet	tokarn
help	sikour
helpful	talvoudus
hence	dre se
her	hi
herd	bagad
here	amañ
heritage	hêrezh
hesitate	termal
Hey	Salud
Hi	Salud
hi how are you	salud, mont a ra
Hi there	ac'hanta tudoù
hidden	kuzhet
hide	kuzhat
hierarchy	urzhaz
high	uhel
highlight	lakaat war wel
highlight	barr
hike	tro-vale
hike	pourmenadenn
hiking	pourmen
hilarious	farsus
hill	tuchenn
him	hennezh
hint	damveneg
hint	damlavaret
hip	lez
hips	divlez
hire	enfredañ
hiring	oc'h enfredañ
his	e
history	istor
hit	skeiñ
hit	stokenn
hit	disoc'h
Hmm	Hmm
hobby	diverr-amzer
hold	derc'hel
hold	levezon
hold	aozañ
hold on	derc'hel krog
hole	toull
holiday	vakañsoù
hollow	kleuz
home	ar gêr
home	ti
homework	deverioù
honest	onest
honestly	evit gwir
Honey	Karedig
Honey	mel
honor	enor
honor	enoriñ
hood	kabell
hook	krog
hop	sailhañ
hope	spi
hope	kaout spi
hope	hetiñ
hopefully	emichañs
hopeless	dizesper
horizontal	a-led
horn	korn
horrible	spontus
horror	spont
horse	marc'h
hospital	ospital
hospitality	bod
host	aozañ
host	buhezour
host	ostiz
hostile	enebet
hot	brout
hot	kras
hot	tomm
hotel	leti
hour	eur
hours	eurioù
house	ti
household	tiegezh
household	oaled
how	penaos
how about you	henvroad
how about you	ha ganeoc'h
how are you	mont a ra
how are you doing	penaos emañ kont
how are you doing today	penaos emañ kont hiziv
how are you today	penaos emaout hiziv
how do you do	plijet on oc'h ober anaoudegezh ganeoc'h
how many	pet
how much	pegement
how often	pegen alies
how old are you	pe oad oc'h
how was your day	penaos eo bet hiziv
how was your night	mat ez peus kousket
however	koulskoude
hub	kroashent
hub	kreiz
hub	poent-kej
hubby	gwaz
hug	briata
huge	bras-meurbet
human	denel
humble	uvel
humid	gleb
humidity	glebor
hundred	kant
hungry	naoniek
hunt	chaseal
hurricane	korventenn
hurry	mall
hurry up	hastañ buan
hurt	ober poan
hurt	gloazañ
hurt	gloaz
husband	gwaz
hustle	hastañ buan
hut	lochenn
hygiene	yec'hederezh
I	me
I am	me zo
I am fine	Mat emaon
I can	Gallout a ran
I can't	Ne c'hallan ket
I do	Ober a ran
I do not know	n'ouzon ket
I do not understand	Ne gomprenan ket
I don't know	N'ouzon ket
I don't understand	Ne gomprenan ket
I don't understand what you mean	ne gomprenan ket ar pezh ar pezh a fell dit lavaret
I don't understand what you mean	ne gomprenan ket ar pezh ar pezh a fell deoc'h lavaret
I don't understand you	Ne gomprenan ket ac'hanoc'h
I don’t know	n'ouzon ket
I don’t understand	Ne gomprenan ket
i guess	divinout a ran
I had	me am boa
I have	me am eus
I have been	bet on bet
I hope so	emichañs
I know	gouzout a ran
I like	Plijout a ra din
I like you	pljout a rez din
I love	karout a ran
I love my big brother	karout a ran ma breur bras
I love my big sister	karout a ran ma c'hoar vras
I love my father	karout a ran ma zad
I love my little brother	karout a ran ma breur bihan
I love my little sister	karout a ran ma c'hoar vihan
I love my mother	karout a ran ma mamm
I love you	karet out ganin
I love you so much	Karout a ran ac'hanout kement
I love you too	Da gaout a ran me ivez
I mean	a soñj din
I miss you	diouer a rez din
I miss you so much	diouer a rez din spontus
I see	gwelet a ran
I think	Soñjal a ran
I understand	kompren a ran
I want	c'hoant am eus
I want to see you	c'hoant am eus da welet ac'hanout
I want you	Ezhomm am eus ac'hanout
I was	Me a oa
I will	Ober a rin
I would be	me a vefe
I'm	me zo
I'm fine	mat emaon
I'm good	mat emaon
I'm here	amañ emaon
I'm sorry	mantret on
ice	skorn
ice cream	dienn-skorn
idea	mennozh
ideal	peurvat
identical	heñvel
identify	anaout
identity	identelezh
idiot	diot
idle	arouarek
idle	vak
if	ma
ignore	lezel a-gostez
ill	klañv
illegal	er-maez lezenn
illness	kleñved
Ilocano	ilokanoeg
image	skeudenn
imagine	ijinañ
immediate	diouzhtu
immediately	diouzhtu
immense	divent
impact	skog
impact	skogañ
impatient	dibasiant
implement	lakaat e plas
import	enporzhiañ
important	pouezus
impose	gourlakaat
impossible	dibosupl
impress	balpiñ
impression	soñj
impression	moulladenn
impressive	bamus
improve	gwellaat
improvement	gwellaenn
in	e
in addition	ouzhpenn-se
In fact	Evit gwir
in front of	a-dal da
in order to	a-benn
inappropriate	amzere
incentive	broudus
incident	draen
incident	gwallzarvoud
include	ebarzhiñ
including	en o zouez
income	kred
inconvenience	kudenn
inconvenience	trubuilh
increase	kreskiñ
increase	kresk
increased	kresket
incredible	digredus
indeed	da vat
independent	dizalc'h
India	India
indicate	diskouez
indigenous	engenidik
individual	hiniennel
industry	industriezh
inevitable	ret
infant	krouadur
infection	poread
infinity	anfin
inflammation	tanijenn
inflation	monc'hwez
influence	levezon
influence	levezoniñ
inform	kelaouiñ
information	keloù
ingredients	aozennoù
inheritance	hêrezh
initial	orin
initial	lizherenn-dal
initial	deroù
initiative	intrudu
injured	gloazet
injury	gloaz
innocent	digablus
innovation	nevezadur
inquiry	enklask
insane	foll
insane	digredus
insane	diboell
insect	amprevan
insecure	diasur
insert	enlakaat
inside	e diabarzh
insight	rakwel
insist	pouezañ
insomnia	anhun
inspiration	awen
inspire	enanalañ
install	staliañ
instance	degouezh
instant	red
instant	prim
instant	prantad
instead	e-lec'h
instead of	e-lec'h
instructions	kemennoù
instrument	benveg
insult	kunujenniñ
insult	kunujenn
insurance	asurañs
intact	anterin
integrity	antenrinded
intellectual	intellektual
intelligence	speredegezh
intelligent	speredek
intend	fellout
intended	soñjet
intense	kreñv
intention	youl
interact	mont e darempred gant
interaction	etreoberiaduur
interest	interest
interested	dedennet
interesting	dedennus
interfere	emellout
intermediate	etre
internal	diabarzh
international	etrebroadel
internship	staj
interpret	dielfennañ
interpret	jubennour
interpreter	kaner
interpreter	jubennour
interrupt	troc'hañ
interview	atersadenn
intimate	lakaat da grediñ
intimate	diabarzh
into	e-barzh
introduce	kinnig
introduce	lakaat e-barzh
introduction	digoradur
introvert	entroet
intuition	raksant
invalid	nammet
invent	ijinañ
inventory	renabl
invest	postañ
investigate	imbourc'h
invitation	pedadenn
invite	pediñ
invoice	fakturenniñ
involve	emplegañ
involved	empleget
iron	dir
island	enez
isolated	digenvez
issue	kudenn
issue	poent
issues	kudennoù
issues	poentoù
it's ok	mat eo
It's okay	mat eo
item	tra
items	traoù
I’m	Me zo
jacket	chupenn
jail	bac'h
January	Genver
jar	krenañ
jar	pod
jaw	javed
jealous	gwarizius
jerk	beulke
jewelry	bravigoù
job	labour
jogging	redek
join	bodañ
join	emezelañ
joint	boutin
joint	kenstroll
joke	farsadenn
joke	farsal
journalist	kazetenner
journey	beaj
joy	levenez
judge	barn
judge	barner
juice	chug
july	Gouere
jump	lammat
june	Mezheven
junk	lastez
junk	stlepel
just	nemet
just	hepken
just do it	bec'h dezhi
justice	justis
justify	reizhabegiñ
Kalaallisut	greunlandeg
keen	entanet
keep	mirout
keep	tour-meur
keep	gwareziñ
keep it up	kendalc'hit
kept	miret
kettle	kitell
key	alc'hwez
kick	taol-troad
kick	tennañ
kid	bugel
kidding	farsal
kidney	lounezh
kids	bugale
kill	lazhañ
kind	seurt
kind	jentil
kinda	seurt
kindly	gant madelezh
kindness	madelezh
king	roue
kiss	pokat
kiss	pok
kitchen	kegin
kite	sarpant-nij
kitten	kizhier bihan
knee	glin
knife	kontell
knight	marc'heg
knowledge	anaoudegezh
known	anavezet
Konkani	konkaneg
Krio	krioeg
label	tikedenniñ
label	tikedenn
label	rummata
labor	labour
labour	labour
labour	tud labour
lack	diouer
ladder	skeul
lady	itron
laid	lakaet
laid	gourvezet
laid	pozet
lake	lenn
lamb	oan
lame	kamm
lamp	lamp
land	douar
land	bro
landscape	gweledva
language	yezh
lap	tro
lap	barlenn
large	ledan
last	diwezhañ
last but not least	erfin met hep klozañ
last name	anv-familh
late	diwezhat
lately	er mareoù-mañ
later	diwezhatoc'h
latest	diwezhañ
latter	diwezhatoc'h
laugh	c'hoarzh
laugh	c'hoarzhin
laughing	c'hoarzhin
laughter	c'hoarzhin
launch	loc'hañ
laundry	kannerezh
law	lezenn
lawn	leton
lawyer	breutaer
lay	gourvezañ
layer	gwiskadiñ
layer	gwiskad
layout	kinkladur
layout	pajennaozañ
lazy	lezirek
lead	intrudu
lead	sturiañ
lead	plom
leader	bleiner
leader	penn
leaf	delienn
leak	berañ
leak	diflipañ
leak	diskuilhañ
lean	treutik
leap	lammat
learn	deskiñ
learning	deskadurezh
learning	o teskiñ
lease	feurm
lease	feurmiñ
least	nebeutañ
leather	lêr
leave	ehan
leave	lezel
leave	mont kuit
leaves	delioù
led	bleinet
left	kleiz
left	aet kuit
leg	gar
legacy	hêrezh
legal	hervez lezenn
legend	mojenn
legit	diouzh lezenn
leisure	dudi
lend	kinnig
lend	prestañ
lend	asantiñ
length	hirder
less	nebeutoc'h
lesson	kentel
let	lezel
let	talvezout
let	feurmiñ
letter	lizher
lettuce	letuz
level	liveañ
level	live
level	kompezañ
leverage	tennañ splet
liability	atebegezh
library	levraoueg
lick	lipat
lie	livañ gevier
lie	gourvez
lie	gaou
lies	gevier
life	buhez
lift	pignerez
light	skañv
light	gouloù
light	sklaer
lightning	arnev
lightning	luc'hedenn
like	plijout
likely	moarvat
likewise	ouzhpenn-se
line	linenn
Lingala	lingalaeg
link	liamm
link	liammañ
lion	leon
liquid	liñvenn
list	rollañ
list	roll
listen	selaou
listening	o selaou
literally	ger ha ger
literature	lennegezh
litter	lastez
litter	strobañ
little	nebeut
live	bevañ
liver	avu
lives	buhezhioù
living	bev
living	doare-bevañ
living	micher
living room	saloñs
lizard	glazard
load	kargañ
loaf	torzh-vara
loan	amprest
local	lec'hel
local	den eus ar vro
location	lec'h
lock	prennañ
lock	prenn
lockdown	kenfinañ
log	enrollañ
log	marilh
log	kevreañ
lol	NAF
lonely	en e-unan
long	pell
long	hir
long time no see	pell a oa
look	sellet
look	sell
loop	lagadenn
loose	leuskel
loose	laosk
lord	aotrou
lose	koll
loss	koll
lost	kollet
lost	aet da get
lot	kalz
lot	tachenn
loud	kreñv
loud	uhel
lounge	saloñs
love	karantez
love	karout
love you	da garout a ran
lovely	brav
low	izel
lower	izeloc'h
loyal	leal
loyalty	lealded
luck	chañs
lucky	chañsus
Luganda	gandaeg
luggage	malizenn
lump	kreskenn
lump	tamm
lump	treziad
lunch	merenn
lungs	skevent
luxury	aez
lying	o livañ gevier
lying	gourvezet
machine	mekanik
mad	foll
madam	itron
made	graet
magazine	kelaouenn
magnificent	meurdezus
maid	matezh
main	pennañ
maintain	derc'hel
maintenance	ratre
Maithili	maithileg
major	bras
major	major
majority	muianiver
make	ober
make up	mont d'ober
make up	ijinañ
make up	fardañ
male	par
mall	kreizenn-genwerzh
man	den
manage	dont a-benn
management	reoliñ
manager	melestrer
mandatory	rekis
manifest	manifestiñ
manipulate	merat
manipulate	embregata
manner	doareoù
manual	dornlevr
many	kalz
many many happy returns of the day	un devezh kaer a hetan dit
march	Meurzh
margin	marz
market	marc'had
marriage	eured
married	dimezet
mask	maskl
mass	oferenn
mass	a-vras
massive	hollek
master	mestr
master	mestroniañ
match	krogad
match	parañ
match	alumetez
mate	mignon
material	danvez
material	danvezel
math	mat
matter	danvez
matter	kraf
matter	kontañ
maturity	darevidigezh
maybe	marteze
me	me
me too	me ivez
meal	pred
mean	drouk
mean	talvezout
meaning	ster
means	doareoù
means	peadra
meanwhile	e-keit-se
measure	muzuliañ
measure	diarbenn
measure	muzul
measures	muzulioù
measures	diarbennoù
meat	kig
medical	mezegel
medicine	louzoù
meditation	darvesterezh
medium	krenn
meet	en em gavout
meet	kejañ
meet	klotañ gant
meeting	emvod
Meiteilon	meiteieg
melt	teuziñ
memories	eñvorennoù
memory	eñvor
mental	psikologel
mental	bredel
mental	psikiatrek
mention	meneg
mentioned	meneget
mentor	mentor
merchant	marc'hadour
mercy	truez
merely	a-boan
merry christmas	Nedeleg laouen
mess	stlabez
mess	moc'hañ
message	kemennadenn
messy	diskempenn
metal	metal
method	hentenn
mice	logod
middle	kreiz
midnight	hanternoz
might	galloud
mild	skañv
mild	kerreizh
milestone	bonn
military	milourel
milk	laezh
million	milion
mind	empenn
mind	spered
mind	teurel evezh
mindset	stad spered
mine	din
mine	mengleuz
mingle	ober anaoudegezh
mingle	en em veskañ
minor	minor
minor	bihan
minor	dister
minute	munut
minutes	munutoù
minutes	rentañ-kont
miracle	burzhud
mirror	melezour
mirror	dasskediñ
mirror	kilseller
miscellaneous	a bep seurt
mischievous	ravailhon
miserable	truezus
misery	mizer
miss	dimezell
miss	mankout
miss	fazi
miss you	diouer a rez din
missing	diank
mission	kefridi
mist	latar
mistake	fazi
Mizo	mizoeg
mobile	hezoug
mock	ober goap
model	patrom
moderate	habask
modern	modern
modest	uvel
moist	gleb
moisture	glebor
mold	moull
mole	goz
mom	mammig
moment	mare
monday	Lun
money	arc'hant
monitor	kontrolliñ
monkey	marmouz
month	miz
mood	aergelc'h
mood	imor
mood	gwallimor
moody	ginus
moon	loar
moral	moral
more	muioc'h
moreover	a zo gwell
morning	mintin
mortgage	arouestl
most	muiañ
mostly	dreist-holl
mother	mamm
motion	dilec'hiadenn
motion	goulenn
motion	kinnig
motivation	youl
mountain	menez
mouse	logodenn
mouth	genoù
move	fiñval
move	fiñv
movement	fiñv
movie	film
mrs	It.
much	kalz
much	re
mud	fank
mug	tasenn
muscle	kigenn
museum	mirdi
mushroom	tog-touseg
music	sonerezh
must	redi
must	rankout
mute	mut
my	ma
My dear	Ma faotr
my friend	ma mignon
My hovercraft is full of eels	Leun eo ma dourruzer gant sili
my love	ma c'harantez
my pleasure	ar blijadur zo din
myself	me ma-unan
mysterious	kevrinus
mystery	kevrin
myth	mojenn
nail	ivin
nail	tach
naive	hegredik
name	anv
name	envel
narrative	dezrevell
narrow	strizh
nasty	vil
national	broadel
nationality	broadelezh
native	genidik
natural	naturel
nature	natur
nausea	heug
near	tost
nearby	e-tal-kichen
nearly	tost
neat	naet
necessary	ret
neck	gouzoug
neck	strizh-douar
neck	kilpenn
necklace	tro-c'houzoug
need	ezhomm
negative	negativel
neglect	dibalamour
negotiate	marc'hata
neighbor	amezeg
neighborhood	amezeien
neither	hini ebet
neither	kennebeut
nephew	niz
nerd	razh urzhiataer
nervous	nervennek
nest	neizh
net	roued
network	rouedad
neutral	neptu
neutral	nepreizh
never	morse
never give up	dalc'h krog bepred
never mind	ne vern
nevermind	ne vern
nevertheless	kement-se lavaret
new	nevez
news	keleier
next	kentañ
next to	e-kichen
nice	brav
nice	mat
nice	jentil
nice to meet you	ur blijadur eo ober anoudegezh ganeoc'h
niece	nizez
night	noz
nightmare	gwallhunvre
nine	nav
nineteen	naontek
ninety	dek ha pevar-ugent
No	Ket
no problem	kudenn ebet
no way	e mod ebet
nobody	den ebet
noise	trouz
noisy	trouzus
none	hini ebet
noon	kreisteiz
nope	seurt
nor	na
normal	normal
north	norzh
nose	fri
nostalgic	hiraezhus
not	ket
not at all	tamm ebet
not bad	madik
Not now	Ket bremañ
not yet	ket c'hoazh
note	notenniñ
note	notenn
noted	notennet
nothing	netra
notice	kemenn
noticed	merzet
noun	anv
nouns	anvioù
novel	danevell
november	Du
now	bremañ
nowadays	evit an deizioù
nuisance	noaz
null	null
numb	genaoueg
number	niver
nurse	klañvdiourez
nurse	magerez
nut	kraoñenn
nutmeg	muskadez
nutrition	magadurezh
oath	le
obesity	teuc'hegezh
obey	sentiñ
object	traezenn
objective	pal
obligation	redi
obscure	teñval
observation	arselladenn
observe	arsellet
obsessed	trelatet
obsession	trelat
obsolete	dispredet
obstacle	skoilh
obtain	dont a-benn da gaout
obtained	bet
obvious	anat
obviously	anat deoc'h
occasionally	a-wechoù
occupation	ac'hubadur
occupation	micher
occupied	ac'hubet
occur	c'hoarvezout
occurred	c'hoarvezet
ocean	meurvor
october	Here
odd	iskis
odds	drol
of	eus
of course	evel-just
off	e vakañsoù
off	fall
off	lazhet
offensive	tagus
offer	kinnig
office	burev
official	ofisiel
often	alies
Oh	Hopala
oh really	Ac'ha, evit gwir
oil	eoul
ok	mat eo
ok dear	mat eo er mod-se
ok honey	mat eo karedig
ok my love	mat eo karedig
okay	mat eo
okay baby	mat eo bihan
okay dear	mat eo ken ez eo
okay honey	mat eo evel-se
okay my love	mat eo labousig
old	kozh
on	war
on	war enaou
once	ur wech
one	unan
one language is never enough	ne vez morse a-walc'h gant ur yezh nemetken
onion	ognon
online	enlinenn
only	hepken
open	digeriñ
open	digor
open	boulc'hañ
operation	obererezh
operation	oberatadenn
opinion	soñj
opportunities	digarezioù
opportunities	chañsoù
opportunity	chañs
opposite	rag-enep
optimistic	gwellwelaus
option	dibarzh
optional	diret
or	pe
orange	orañjez
order	urzhiañ
order	urzh
ordinary	boas
organization	aozadur
orientation	tuadur
origin	orin
original	orin
original	dibar
Oromo	oromoeg
orphan	emzivad
other	all
otherwise	mod-all
our	hon
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	Hor c'hefridi : lakaat pep hini, ne vern pelec'h e ve o chom, da gompren ar bed ha da ezteurel e soñj en tu all d'ar yezhoù
Our mission: to organize the world's information and make it universally accessible and useful.	Hor c'hefridi : aozañ roadennoù ar bed ha lakaat anezho e kerz an holl ha talvoudus d'an holl
out	er-maez
outcome	disoc'h
outfit	skipailh
outfit	gwiskamant
outfit	dilhad
outgoing	eztroet
outlet	skarzhadenn
outlet	stal
outlet	diskarg
outline	ezlinenn
outside	er-maez
outstanding	dispar
oven	forn
over	echu
over	dreist
over there	du-hont
overall	penn-da-benn
overall	en holl
overcome	mont dreist da
overthinking	rebrederiañ
overwhelmed	badaouet
overwhelming	dic'houzañvus
owe	dleout
owl	toud
owl	kaouenn
own	perc'hennañ
owner	perc'henn
ox	ejen
pace	kammed
pack	sac'h
pack	pakañ
pack	pakad
package	pakadur
paid	paeet
pain	poan
paint	livañ
painting	livadur
painting	livañ
pair	par
pale	disliv
palm	palv
palm	palmez
pan	paelon
pandemic	pandemiezh
panic	pennfollañ
pants	brageier
pants	brageier-dindan
pants	slipoù
paper	paper
paper	pennad-kazetenn
paradise	baradoz
parallel	kenstur
parcel	pakata
parcel	tachenn
parcel	pakad
pardon	pardon
pardon	pardoniñ
parents	tud ar vugale
park	park
parrot	peroked
parsley	perisilh
part	lodenn
participate	kemer perzh
particular	dibar
particularly	dreist-holl
partner	mignon
partner	keveler
party	gouel
pass	tremen-hent
pass	tremen
pass	kartenn
passage	tremen
passed	resevet
passed	degemeret
passed	tremenet
passion	trefu
passionate	entanet
passive	gouzañvus
password	ger-tremen
past	tremenet
patch	plakenn
patch	pezh
patch	takoniñ
path	gwenodenn
pathetic	mantrus
patience	pasianted
patient	klañvour
patient	arval
patient	pasiant
pattern	patrom
pause	ehan
pavement	hent
pavement	riblenn-straed
pavement	pavez
pay	pae
pay	paeañ
payment	paeamant
peace	peoc'h
peaceful	peoc'hus
peach	pechez
peak	barr
peak	pikern
pear	per
peas	piz-bihan
peculiar	dibar
pee	titich
pee	ober titich
peel	peliat
peer	keneil
peer	par
peer	kenlabourer
peers	kenseurted
pen	kreion
pencil	kreion
pending	war c'hortoz
people	tud
people	pobl
pepper	pebr
perceive	spurmantiñ
perception	sell
perfect	peurvat
perform	seveniñ
performance	taol-kaer
perhaps	marteze
period	pik
period	mizoù
period	marevezh
permanent	trebadus
permission	aotre
permit	aotre
permit	aotren
perseverance	dalc'husted
persistent	dalc'hus
persistent	padus
person	den
personal	personel
personality	personelezh
perspective	savboent
persuade	kendrec'hiñ
pervert	siek
pet	loen-ti
phase	lankad
phenomenon	anadenn
philosophy	prederouriezh
phone	pellgomz
photo	luc'hskeudenn
phrase	frazenniñ
phrase	frazenn
physical	korf
pick	pigell
pick	tapout
pick	dastum
pick up	dastum
pick up	kemer
picture	skeudenn
piece	pezh
piece	tamm
pieces	pezhioù
pig	pemoc'h
pigeon	pichon
pile	bern
pillow	goubenner
pilot	loman
pin	spilhenn
pineapple	ananazenn
pink	roz
pit	foz
pit	puñs
pit	mengleuz
pitch	kinnig
pitch	tachenn
pity	truez
place	lec'h
place	lec'hiañ
places	plasoù
places	lec'hioù
