Ein	a
fríggjadagur	friday
kuldaskáp	fridge
vindur	friend
vinarligur	friendly
vinir	friends
vinalag	friendship
bangin	frightened
ræðandi	frightening
froskur	frog
frá	from
forsíða	front
fryst	frozen
frukt	fruit
vónbrotin	frustrated
brennievni	fuel
Fullfulde	Fulfulde
fullur	full
f	fun
stuttleiki	fun
virki	function
grundarlag	fundamental
jarðarferð	funeral
stuttligur	funny
pelsur	fur
í øðini	furious
innbúgv	furniture
víðari	further
harafturat	furthermore
framtíð	future
røkka	gain
spæl	game
hol	gap
bilhús	garage
rusk	garbage
urtagarður	garden
hítleykur	garlic
portur	gate
savna	gather
savnan	gathering
mát	gauge
gav	gave
útgerð	gear
kyn	gender
generalur	general
vanligur	general
vanliga	generally
framleiða	generate
ættarlið	generation
gávumildur	generous
hásinnaður	generous
flogvit	genius
slag	genre
varligur	gentle
sannur	genuine
bragd	gesture
fáa	get
fáa hendur á	get
lat teg í	get dressed
oom upp	get up
statt upp	get up
góðan bata	get well soon
fáa	getting
spøkilsi	ghost
at slíta persónlig sambond uttan orð ella eið	ghosting
risi	giant
gáva	gift
ingifer	ginger
genta	girl
unnusta	girlfriend
geva út	give
geva upp	give up
givið	given
glaður	glad
eygnabragd	glance
glas	glass
brillur	glasses
glotti	glimpse
alheimsligur	global
myrkur	gloomy
handskar	gloves
glóð	glow
lýs upp	glow up
lím	glue
fara	go
koyr avstað	go ahead
far burtur	go away
far í song	go to bed
máliska	goal
mál	goals
geit	goat
guð	god
gud signi teg	god bless you
gongur	goes
fer	going
fer	going to
gull	gold
farin	gone
fari	gonna
smikur	goo
gott	good
góðan seinnapart	good afternoon
farvæl	good bye
góðan dag	good day
gott kvøld	good evening
væl úr hondum greitt	good job
sær gott út	good looking
góða eydnu	good luck
góðan morgun	good morning
góðan morgun, mín elskaði	good morning my love
góðan morgun, mín elskaða	good morning my love
góða nátt	good night
farvæl	goodbye
góða nátt	goodnight
ognarlutir	goods
Google	Google
Google týðing	Google Translate
gás	goose
glæsiligur	gorgeous
prýðiligur	gorgeous
strálandi	gorgeous
slatur	gossip
fekk	got
eg skilji	got it
stjórn	government
taka	grab
stig	grade
smátt um smátt	gradually
taka prógv	graduate
korn	grain
játtan	grant
viðganga	granted
drúur	grapes
tak	grasp
gras	grass
takksamur	grateful
takksemi	gratitude
grøv	grave
grátt	gray
stórfingin	great
frálíkt	great
stórur	great
girnd	greed
grammur	greedy
grønt	green
heilsa	greet
heilsan	greeting
helsur	greetings
gráur	grey
rist	grid
grind	grid
sorg	grief
knúsan	grind
tak	grip
vøra	grocery
røkta	groom
meginpartur	gross
jørð	ground
bólkur	group
vaksa	grow
vøkstur	growth
í ringum lag	grumpy
Guarani	Guarani
garanti	guarantee
vakt	guard
gita	guess
gestur	guest
leiðbeining	guidance
leiðari	guide
skydlugur	guilty
jassur	guy
dreingir	guys
venjingarstøð	gym
vani	habit
heimstaður	habitat
umhvørvi	habitat
hevði	had
heilsa	hail
heglingur	hail
hár	hair
hálvur	half
høll	hall
hond	hand
handa	hand
handtak	handle
vakur	handsome
hongur	hang
hanga út	hang out
henda	happen
fara fram	happen
hendi	happened
eydna	happiness
glaður	happy
tillukku	happy birthday
tillukku við føðingardegnum	happy birthday to you
gott nýggjár	happy new year
harður	hard
hart	hard
neyvan	hardly
so at siga aldri	hardly ever
skaða	harm
skaðiligur	harmful
samljóð	harmony
harður	harsh
akurskurður	harvest
hevur	has
hatur	hate
hava	have
eg ynski tær ein góðan dag	have a good day
eg ynski tær ein góðan dag	have a nice day
fá tær morgunmat	have breakfast
stuttleika sær	have fun
hevur tú etið	have you eaten
hava	having
tilvild	hazard
tám	haze
hann	he
hann hevur	he has
hann er	he is
høvd	head
høvuðpína	headache
lekja	heal
leking	healing
heilsa	health
sunnur	healthy
hoyra	hear
hoyrdi	heard
hjarta	heart
hiti	heat
himmalin	heaven
himmiríkið	heaven
tungur	heavy
fjáltrandi	hectic
hædd	height
arvingi	heir
rán	heist
helt	held
helviti	hell
helheimur	hell
Hey	Hello
hey góði	hello dear
hey góða	hello dear
hey, hvussu hevur tú tað	hello how are you
hey, hvussu hevur tú tað	hello how are you doing
hjálmur	helmet
hjálp	help
hjálpsamur	helpful
eftir hetta	hence
hennara	her
fylgi	herd
her	here
arvalutur	heritage
drála	hesitate
Hey	Hey
Hey	Hi
hey, hvussu hevur tú tað	hi how are you
Hey	Hi there
goymdur	hidden
goyma	hide
stigveldi	hierarchy
høgur	high
høgt	high
hápunkt	highlight
gongutúrur	hike
gongutúrur	hiking
látuligt	hilarious
heyggjur	hill
hann	him
ábending	hint
nútímans	hip
mjadnar	hips
bústaðareiga	hire
leigan	hiring
hansara	his
søga	history
sláa	hit
Hmmm	Hmm
frítíðaráhugi	hobby
halda	hold
bíða við	hold on
hol	hole
frídagur	holiday
hola	hollow
heima	home
heim	home
heimaarbeiði	homework
reiðiligur	honest
heiðurligur	honest
ærligur	honest
ærliga	honestly
góði	Honey
søti	Honey
Hunangur	Honey
æra	honor
hetta	hood
grannalag	hood
húkur	hook
hopp	hop
vón	hope
vóna	hope
vónandi	hopefully
vónleysur	hopeless
vætnrættur	horizontal
lúður	horn
horn	horn
ræðuligt	horrible
ræðsla	horror
hestur	horse
sjúkrahús	hospital
gestablídni	hospitality
húsbóndi	host
vertur	host
illviljaður	hostile
heitur	hot
heitt	hot
gistingarhús	hotel
tími	hour
tímar	hours
hús	house
húsarhald	household
hvussu	how
hvussu við tær	how about you
hvussu hevur tú tað	how are you
hvussu hevur tú tað	how are you doing
hvussu hevur tú tað í dag	how are you doing today
hvussu hevur tú tað í dag	how are you today
hvussu hevur tú tað	how do you do
hvussu hevur	how is
hvussu nógv	how many
hvussu nógv	how much
hvussu ofta	how often
hvussu gamal er tú	how old are you
hvussu gomul er tú	how old are you
hvussu var dagur tín	how was your day
hvussu var kvøld títt	how was your night
kortini	however
hvussu enn	however
miðdepil	hub
maður	hubby
klemm	hug
stórt	huge
menniskja	human
eyðmjúkur	humble
slagin	humid
slag	humidity
hunrað	hundred
svangur	hungry
veiða	hunt
ódn	hurricane
skundur	hurry
skunda tær	hurry up
pína	hurt
skaði	hurt
illkennan	hurt
maki	husband
maður	husband
fólk við áræði	hustle
trokan	hustle
smátta	hut
reinføri	hygiene
Eg	I
Eg eri	I am
eg havi tað gott	I am fine
eg kann	I can
eg kann ikki	I can't
eg geri	I do
eg veit ikki	I do not know
eg skilji ikki	I do not understand
eg ikki	I don't
eg veit ikki	I don't know
Eg skilji ikki	I don't understand
eg skilji teg ikki	I don't understand what you mean
eg skilji ikki	I don't understand what you mean
hvat tú meinar	I don't understand what you mean
eg skilji teg ikki	I don't understand you
eg veit ikki	I don’t know
eg skilji ikki	I don’t understand
eg haldi	i guess
eg hevði	I had
eg havi	I have
eg havi verið	I have been
Tað vóni eg	I hope so
Eg veit	I know
Eg eri greiður yvir	I know
mær dámar	I like
mær dámar teg	I like you
Eg elski	I love
eg elski stórabeiggja mín	I love my big brother
eg elski stórusystir mína	I love my big sister
eg elski pápa mín	I love my father
eg elski beiggja mín	I love my little brother
eg elski lítlusystir mína	I love my little sister
eg elski mammu mína	I love my mother
Eg elski teg	I love you
eg elski teg so høgt	I love you so much
eg elski teg so nógv	I love you so much
eg elski eisini teg	I love you too
i meini	I mean
Eg sakni teg	I miss you
eg sakni teg so nógv	I miss you so much
eg skilji	I see
eg haldi	I think
Eg skilji	I understand
eg vil	I want
eg vil síggja teg	I want to see you
eg vil hava teg	I want you
eg var	I was
eg vil	I will
I vildi verið	I would be
Eg eri	I'm
Eg havi tað gott	I'm fine
eg eri góður	I'm good
eg eri her	I'm here
orsaka	I'm sorry
tað harmar meg	I'm sorry
ísur	ice
ísur	ice cream
hugskot	idea
fyrimynd	ideal
samlíkur	identical
eyðmerkja	identify
samleiki	identity
býttlingur	idiot
letast	idle
um	if
skúgva til viks	ignore
sjúk	ill
ólógligur	illegal
sjúka	illness
Ilocano	Ilocano
mynd	image
ímynda	imagine
í stundini	immediate
í stundini	immediately
beinanvegin	immediately
ómetaligur	immense
ávirkan	impact
ótolin	impatient
fremja	implement
tól	implement
innflutningur	import
týdningarmikið	important
áleggja	impose
ógjørligt	impossible
merki	impress
seta dám á	impress
mynd	impression
undranarverdur	impressive
betra	improve
betran	improvement
í	in
avtrat	in addition
satt at siga	In fact
framman fyri	in front of
í mun til	in order to
óhóskandi	inappropriate
eggjan	incentive
hending	incident
fata um	include
fevna um	include
íroknaður	including
inntøka	income
ómakur	inconvenience
víðka	increase
økt	increased
ótrúligt	incredible
í roynd og veru	indeed
ja	indeed
veruliga	indeed
sjálvstøðugur persónur	independent
India	India
vísa á	indicate
innføddur	indigenous
persónur	individual
menniskja	individual
einstaklingur	individual
íðni	industry
óumberligur	inevitable
barn	infant
smitta	infection
endaloysi	infinity
bruni	inflammation
virðisminkan	inflation
ávirkan	influence
upplýsa	inform
kunning	information
partar	ingredients
arvur	inheritance
forbókstavur	initial
framtakshugur	initiative
særdur	injured
skaði	injury
ósekur	innocent
nýmenning	innovation
spurningur	inquiry
ørur	insane
vitleysur	insane
skordýr	insect
ósikkur	insecure
innskot	insert
innaní	inside
inni	inside
innlit	insight
halda fast við	insist
andvekur	insomnia
íblástur	inspiration
íblása	inspire
seta í	install
skel	instance
í stundini	instant
i staðin fyri	instead
í staðin	instead
í staðin fyri	instead of
vegleiðingar	instructions
ljóðføri	instrument
misbjóðing	insult
trygging	insurance
órørdur	intact
heild	integrity
mentafólk	intellectual
skilvit	intelligence
gløggur	intelligent
hava í huga	intend
ætlað	intended
inniligur	intense
endamál	intention
ávirkan	interact
sín ámillum ávirkan	interaction
áhugi	interest
áhugaður	interested
áhugavert	interesting
fara uppí	interfere
leggja uppí	interfere
sum liggur ímillum	intermediate
innan	internal
altjóða	international
starvsvenjing	internship
tulka	interpret
tolkur	interpreter
órógva	interrupt
samrøða	interview
inniligur	intimate
inn í	into
navnkenna	introduce
byrja við	introduce
innleiðsla	introduction
innanhokið fólk	introvert
hugskygni	intuition
ógildugur	invalid
avlamisfólk	invalid
uppfinna	invent
uppgerð	inventory
seta í	invest
kanna	investigate
innbjóðan	invitation
bjóða	invite
faktura	invoice
draga inn í	involve
torgreiddur	involved
jarn	iron
er	is
oyggj	island
avbyrgdur	isolated
spurningur	issue
trupulleiki	issue
stríðsmál	issue
trupulleiki	issues
tað	it
tað er	it is
tað var	it was
tað er	it's
tað er í lagi	it's ok
tað er í lagi	It's okay
lutur	item
lutir	items
tað er	its
eg eri	I’m
jakki	jacket
fongsul	jail
januar	January
krukka	jar
kjálkabein	jaw
øvundsjúkur	jealous
rykk	jerk
prýðislutur	jewelry
starv	job
jogging	jogging
luttaka	join
marihuanasigarett	joint
skemt	joke
tíðindafólk	journalist
ferð	journey
gleði	joy
døma	judge
saft	juice
juli	july
loypa	jump
juni	june
skrell	junk
beint	just
júst	just
ger tað bara	just do it
rættvísi	justice
rættvísgera	justify
Kalaallsut	Kalaallisut
harmast um	keen
syrgja	keen
borgartorn	keep
halda	keep
hava	keep
halt á	keep it up
hevði	kept
ketil	kettle
lykil	key
sparka	kick
barn	kid
roksa	kidding
nýra	kidney
børn	kids
drepa	kill
fittur	kind
vinaligur	kind
blíður	kind
eitt slag av	kinda
vinaliga	kindly
blíðskapur	kindness
kongur	king
mussur	kiss
køkur	kitchen
dreki	kite
kettlingur	kitten
knæ	knee
visti	knew
knívur	knife
riddari	knight
vita	know
vitan	knowledge
kendur	known
Konkani	Konkani
Krio	Krio
frámerki	label
arbeiði	labor
arbeiði	labour
trongd	lack
tørvur	lack
trot	lack
stigi	ladder
kvinna	lady
legði	laid
pappír við vatnmerkjum	laid
á	lake
lamb	lamb
gera haltan	lame
lampa	lamp
land	land
landslag	landscape
mál	language
fang	lap
stórur	large
seinast	last
síðstur	last
at enda, men ikki minst	last but not least
eftirnavn	last name
seinur	late
nýliga	lately
seinni	later
síðstur	latest
seinni	latter
flenna	laugh
flenna	laughing
látur	laughter
seta gongd á	launch
klædnavask	laundry
lóg	law
grasvøllur	lawn
sakførari	lawyer
liggja	lay
lag	layer
skipna	layout
dovin	lazy
leiða	lead
leiðari	leader
blað	leaf
leki	leak
klænur	lean
lop	leap
lærari	learn
læring	learning
leiga	lease
minstur	least
leður	leather
fara frá	leave
fara avstað	leave
fara	leave
bløð	leaves
leiddi	led
vinstru	left
bein	leg
arvur	legacy
lógligur	legal
søgn	legend
halgistøða	legend
sambært reglunum	legit
frítíð	leisure
læna	lend
longd	length
minni	less
leksia	lesson
lat	let
bræv	letter
høvuðssalat	lettuce
stig	level
vág	leverage
lyndi	liability
bókasavn	library
slikka	lick
lygn	lie
lúgva	lie
lygnir	lies
lív	life
lívið	life
lyfta	lift
lætt	light
ljós	light
snarljós	lightning
beinleiðis	like
næstan	like
sum ein	like
sannlíkur	likely
somuleiðis	likewise
lína	line
Lingala	Lingala
leinkja	link
ljón	lion
væta	liquid
listi	list
lurta	listen
lurta	listening
bókstaviliga	literally
orðarætt	literally
bókmentir	literature
ólag	litter
rusk	litter
lítil	little
liva	live
livur	liver
lív	lives
lív	living
stova	living room
oydla	lizard
byrði	load
breyð	loaf
lán	loan
innføddur	local
staður	location
lás	lock
afturlating	lockdown
bulur	log
lol	lol
einsamallur	lonely
langur	long
langt síðan seinast	long time no see
hygg	look
útsjónd	look
lykkja	loop
tapa	loose
harri	lord
missa	lose
missur	loss
missa	lost
mongd	lot
hart	loud
setstova	lounge
kærleiki	love
eg elski teg	love you
yndisligur	lovely
elskuligur	lovely
vænur	lovely
djúpur	low
lágur	low
veikur	low
lægri	lower
trúgvur	loyal
trúfesti	loyalty
hepni	luck
heppin	lucky
Luganda	Luganda
viðføri	luggage
knykil	lump
miðmáli	lunch
løtt máltíð	lunch
lungu	lungs
marglæti	luxury
liggur	lying
maskina	machine
óður	mad
frú	madam
gjørdur	made
vikublað	magazine
frálíkur	magnificent
arbeiðskona	maid
høvuðs	main
varðveita	maintain
halda skil á	maintain
skilahald	maintenance
røkt	maintenance
varðveiðsla	maintenance
Mathili	Maithili
stórur	major
majorur	major
meirlutin	majority
gera	make
smyrsl	make up
maður	male
handilsmiðdepil	mall
maður	man
standa fyri	manage
leiðsla	management
leiðari	manager
yvirræðisveldi	mandatory
kravdur	mandatory
álagdur	mandatory
yvirlýsing	manifest
manipulera	manipulate
háttur	manner
handbók	manual
mong	many
nógv	many
nógvar nógvar gleðiligar afturkomur	many many happy returns of the day
hergonga	march
breddi	margin
marknaður	market
hjúnarband	marriage
giftur	married
maska	mask
mongd	mass
førur	massive
meistarin	master
maki	match
dystur	match
svávulpinnur	match
felagi	mate
tilfar	material
støddfrøði	math
mál	matter
søk	matter
sak	matter
búning	maturity
kunna	may
kanska	maybe
møguliga	maybe
mær	me
meg	me
og eg	me too
eisini eg	me too
máltíð	meal
týða	mean
merkja	mean
týdningur	meaning
merkir	means
meinti	meant
ímeðan	meanwhile
mál	measure
mát	measure
mátingar	measures
kjøt	meat
heilsukanning	medical
heilivágur	medicine
meditatión	meditation
miðal	medium
møta	meet
fundur	meeting
Meteillon	Meiteilon
bráðna	melt
minni	memories
minni	memory
andligur	mental
nevna	mention
umrøddi	mentioned
vegleiðari	mentor
handilsmaður	merchant
miskunn	mercy
bara	merely
gleðilig jól	merry christmas
órudd	mess
boð	message
óruddiligur	messy
málmur	metal
háttur	method
mýs	mice
miðal	middle
midnátt	midnight
máttur	might
kunna	might
mildur	mild
blíður	mild
mílasteinur	milestone
hervaldið	military
mjólk	milk
millión	million
vit	mind
sinni	mind
skil	mind
hugburður	mindset
mínir	mine
mítt	mine
mín	mine
blanda seg við	mingle
moll	minor
lítil	minor
minutt	minute
minuttir	minutes
undur	miracle
spegil	mirror
ymiskur	miscellaneous
skálkaligur	mischievous
vánaligur	miserable
vesaladómur	misery
sakna	miss
ikki raka mál	miss
sakni teg	miss you
horvin	missing
sendinevnd	mission
tám	mist
mistak	mistake
Mizo	Mizo
flytførur	mobile
halda fyri gjøldur	mock
modell	model
tálma	moderate
nútíðar	modern
lítillátaður	modest
bleytt	moist
væta	moisture
evna	mold
moldvørpa	mole
mamma	mom
móðir	mom
løta	moment
mánadagur	monday
peningur	money
vakmyndatól	monitor
apa	monkey
mánaði	month
hugalag	mood
lag	mood
lúnutur	moody
máni	moon
boðskapur	moral
meir	more
og so	moreover
morgun	morning
veðbræv	mortgage
flestir	most
mestur	most
helst	mostly
mamma	mother
móðir	mother
rørsla	motion
íblástur	motivation
fjall	mountain
mús	mouse
muður	mouth
rørsla	move
rørsla	movement
filmur	movie
frú	mrs
nógv	much
runa	mud
krúss	mug
vøddi	muscle
savn	museum
hundaland	mushroom
tónleikur	music
mást	must
ljóðdoyvari	mute
felags	mutual
mín	my
mín kæri	My dear
mín kæra	My dear
vinur mín	my friend
mítt luftpútfar er fult av ????	My hovercraft is full of eels
mín elskaði	my love
eg eiti	my name is
gleðin er mín	my pleasure
eg	myself
loyndarfullur	mysterious
loynidómur	mystery
frumsøgn	myth
negl	nail
góðvarin	naive
navn	name
søga	narrative
smalur	narrow
andstyggiligur	nasty
ræðuligur	nasty
ríkisborgarar	national
tjóðskapur	nationality
upprunaligur	native
natúrtalent	natural
náttúra	nature
vaml	nausea
nærka seg	near
nær	near
nærkast	near
nærindis	nearby
næstan	nearly
nossligur	neat
reinur	neat
neyt	neat
neyðugt	necessary
halsur	neck
hálsketa	necklace
hava tørv á	need
neiligur	negative
misrøkt	neglect
tingast	negotiate
samráðast	negotiate
granni	neighbor
grannalag	neighborhood
hvørgan	neither
hvørki	neither
bróðursonur	nephew
systirsonur	nephew
nørdur	nerd
fjáltrutur	nervous
reiður	nest
net	net
netverk	network
uttanveltaður	neutral
aldri	never
gev aldri upp	never give up
gott er	never mind
líkamikið	never mind
líka mikið	nevermind
líkamikið	nevertheless
óansæð	nevertheless
nýgjgur	new
tíðindi	news
næsti	next
næstur at	next to
góður	nice
vakur	nice
deiligur	nice
hugnaligt at hitta teg	nice to meet you
gott at hitta teg	nice to meet you
systirdóttir	niece
nátt	night
marra	nightmare
nýggju	nine
nítjan	nineteen
níti	ninety
hálvfems	ninety
Nei	No
ikki nakar trupulleiki	no problem
ikki ein trupulleiki	no problem
ongin trupulleiki	no problem
aldri í lívinum	no way
ongin	nobody
larmur	noise
larmandi	noisy
eingin	none
middagur	noon
nei	nope
heldur ikki	nor
vanligur	normal
norður	north
nøs	nose
sorgblíður	nostalgic
ikki	not
yvirhøvir ikki	not at all
ikki so galið	not bad
ikki nú	Not now
ikki enn	not yet
upprit	note
kendur	noted
onki	nothing
bitið merki í	notice
leggja til merkis	notice
frásøgn	noticed
navn	noun
navnorð	nouns
stuttsøga	novel
novembur	november
nú	now
nú	nowadays
plága	nuisance
null	null
stirðna	numb
nummar	number
sjúkrasystir	nurse
nøt	nut
muskatnøt	nutmeg
føðsla	nutrition
matur	nutrition
eiður	oath
fiti	obesity
akta	obey
lutur	object
mið	objective
skuldbinding	obligation
krógva	obscure
eygleiðing	observation
eygleiða	observe
tráseta	obsessed
tráseting	obsession
avlagdur	obsolete
forðan	obstacle
fáa	obtain
útgvegað	obtained
eyðsýndur	obvious
sjálvandi	obviously
eyðsæð	obviously
vituliga	obviously
av og á	occasionally
starv	occupation
upptikin	occupied
henda	occur
koma fyri	occur
bera á	occur
hendi	occurred
fór fram	occurred
hendur	occurs
koma fyri	occurs
hav	ocean
oktobur	october
løgin	odd
løgið	odd
útlit	odds
av	of
sjálvandi	of course
sjálvsagt	of course
rýma	off
fara	off
atsókn	offensive
bjóða	offer
skrivstova	office
almennur	official
ofta	often
tíðum	often
mangan	often
Áh	Oh
veruliga	oh really
olja	oil
ok	ok
í lagi, góða	ok dear
í lagi, góði	ok dear
okey, góði	ok honey
okey, góða	ok honey
í lagi, mín elskaði	ok my love
í lagi, mín elskaða	ok my love
okey	okay
tað er í lagi	okay
okey, góði	okay baby
okey, góða	okay baby
okey, góði	okay dear
okey, góða	okay dear
okey, góða	okay honey
alt í lagi, mín elskaða	okay my love
í lagi, mín elskaði	okay my love
okey, mín elskaða	okay my love
gamal	old
á	on
einusinni	once
eina ferð	once
ein	one
mál okkara er aldri nóg mikið	one language is never enough
leykur	onion
álinju	online
einans	only
opin	open
virksemi	operation
meining	opinion
áskoðan	opinion
hugsan	opinion
møguleikar	opportunities
møgueliki	opportunity
mótsetningur	opposite
bjartskygdur	optimistic
møguleiki	option
valfríur	optional
ella	or
appilsin	orange
sum fæst í lag	order
sum valdar	order
sum er	order
vanligur	ordinary
felag	organization
kunning	orientation
uppruni	origin
frumrit	original
Oramo	Oromo
faðir- og móðirloysingur	orphan
onnur	other
øðrvísi	otherwise
átti	ought
iókkara	our
Ørindi okkara: at gera øll, allastaðni før fyri at skilja heimin og at úttrykkja seg	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
Ørindi okkara: at skipa heimsins kunning og gera hana alheims atkomuliga og nýtiliga	Our mission: to organize the world's information and make it universally accessible and useful.
út	out
úrslit	outcome
búni	outfit
vinaligur og fryntligur	outgoing
sølustaður	outlet
yvilit	outline
uttandura	outside
uttanfyri	outside
framúrskarandi	outstanding
ovnur	oven
yvir	over
yviri har	over there
arbeiðskittil	overall
basa	overcome
yvirhugsan	overthinking
floyma yvir	overwhelmed
fløða	overwhelmed
øgiligur	overwhelming
eiga	owe
ugla	owl
egið	own
eigari	owner
ánari	owner
oksi	ox
ferð	pace
knýti	pack
pakki	package
rindaði	paid
pína	pain
máling	paint
máling	painting
par	pair
bleikur	pale
lógvi	palm
panna	pan
farsótt	pandemic
ótti	panic
skelkur	panic
ræðsla	panic
buksur	pants
pappír	paper
paradís	paradise
samsvara	parallel
pakkiu	parcel
fyrgeving	pardon
foreldur	parents
park	park
pappageykur	parrot
persilla	parsley
partur	part
vera við í	participate
eina helst	particular
serstakliga	particular
serliga	particularly
maki	partner
veitsla	party
skarð	pass
atgonguseðil	pass
pass	pass
gjøgnumgongd	passage
staðin	passed
ovurhugur	passion
gessur	passion
ovurhugaður	passionate
óvirkin	passive
loyniorð	password
fortíð	past
lappi	patch
gøta	path
leið	path
rás	path
syndarligur	pathetic
tolmóð	patience
tolni	patience
sjúklingur	patient
tolin	patient
mynstur	pattern
støðgur	pause
gongubreyt	pavement
gjalda	pay
rinda	pay
gjalding	payment
friður	peace
friðarligur	peaceful
ferska	peach
toppur	peak
pera	pear
bønir	peas
løgin	peculiar
piss	pee
flus	peel
stara	peer
javnlíkar	peers
pennur	pen
pennur	pencil
sum liggur í óvissu	pending
óavgjørdur	pending
menniskju	people
fólk	people
pipar	pepper
hoyra	perceive
fatan	perception
fullkomin	perfect
framføra	perform
framførsla	performance
kanska	perhaps
møguliga	perhaps
mánasjúka	period
tíðarskeið	period
varandi	permanent
loyvi	permission
loyvi	permit
áhaldni	perseverance
áhaldandi	persistent
persónur	person
persónligur	personal
persónsmenska	personality
sjónarmið	perspective
fáa	persuade
yvirtala	persuade
kynsligur frávíkur	pervert
kelidjór	pet
stig	phase
merkisvert fyribrigdi	phenomenon
heimspeki	philosophy
telefon	phone
myndapartur	photo
orðafelli	phrase
kropsliga	physical
heinta	pick
heinta	pick up
taka upp í	pick up
mynd	picture
friður	piece
stykkir	pieces
grísur	pig
dúgva	pigeon
stápla	pile
koddi	pillow
flogskipari	pilot
nál	pin
ananas	pineapple
ljósareytt	pink
hol	pit
í hæddini	pitch
tóni	pitch
kast	pitch
samkensla	pity
staður	place
støð	places
plaga	plague
pest	plague
slætti	plain
skilligur	plain
greiður	plain
ætlan	plan
flogfar	plane
planta	plant
plantur	plants
borðiskur	plate
pallgrund	platform
spæla	play
spælur	playing
góður	pleasant
vinaliga	please
ger so væl	please
nøgdur	pleased
gleði	pleasure
frøi	pleasure
hugur	pleasure
tilsøgn	pledge
nógv	plenty
ráðagerð	plot
proppur	plug
blomma	plum
rørsmiður	plumber
fleirtal	plural
poddvarp	podcast
yrking	poem
yrkingar	poetry
punkt	point
oddur	point
eitur	poison
løgregla	police
politikkur	policy
høviskur	polite
dálking	pollution
hylur	pond
svimjihylur	pool
kukka	poop
fátakur	poor
popptónleikur	pop
vælumtóktur	popular
íbúgvar	population
grísur	pork
greytur	porridge
havnarbýur	port
støða	position
jaligur	positive
eiga	possess
ognir	possession
ráðaríkur	possessive
møguliga	possible
postur	post
útseta	postpone
epli	potato
møgulig megi	potential
menningarmøguleiki	potential
pund	pound
fátækradømi	poverty
máttur	power
megi	power
styrki	power
vald	powerful
verkligur	practical
venja	practice
rós	praise
skálkabragd	prank
bøn	pray
virðismikil	precious
nágreinur	precise
nágreiniliga	precisely
spáa	predict
dáma betur	prefer
serstakur tokki	preference
við barn	pregnant
fordómur	prejudice
inngangur	premises
høgt mettur	premium
viðbót	premium
fyrireiking	preparation
fyrireika	prepare
fyrireikaður	prepared
fyriseting	preposition
nærvera	presence
gáva	present
nútíð	present
framløga	presentation
súltað	preserve
forseti	president
pressa	press
trýst	pressure
lata eins og	pretend
vakur	pretty
fyribyrgja	prevent
virðismikil	previous
fongur	prey
kostnaður	price
erpni	pride
stoltleiki	pride
hugmóð	pride
prestur	priest
høvuðsmál	primary
besta tíð	prime
prinsessa	princess
stjóri	principal
fyrri	prior
raðfesting	priority
fongsul	prison
fangahús	prison
einvera	privacy
einskildur	private
framíhjárættur	privilege
kostnaður	prize
møguliga	probably
trupulleiki	problem
mannagongd	procedure
líða	proceed
gongd	process
framleiða	produce
vøra	product
framleiðsla	production
starv	profession
yrkisfólk	professional
vangamynd	profile
vinningur	profit
ógvuliga	profound
framgongd	progress
verkætlan	project
framúrskarandi	prominent
lyfti	promise
arbeiða fyri	promote
virkan	promotion
áminning	prompt
fram á	prone
fornøvn	pronouns
framburður	pronunciation
prógv	proof
rættiligur	proper
ogn	properly
ognir	properties
ognarlutir	property
ogn	property
fæ	property
uppskot	proposal
útlit	prospect
ogn	prosperity
múgvandi	prosperous
verja	protect
errin	proud
prógva	prove
síggja fyri	provide
útvega	provide
treytað av	provided
landslutur	province
útvegan	provision
kynsbúningur	puberty
almenningur	public
skumpa	pull
graskar	pumpkin
stundisligur	punctual
næmingur	pupil
útvegan	purchase
keyp	purchase
ognan	purchase
reinur	pure
korkalittur	purple
mál	purpose
mið	purpose
endamál	purpose
taska	purse
elta	pursue
elta	pursuit
skumpa	push
leggja	put
seta	put
útbúgving	qualification
góðska	quality
mongd	quantity
sóttarhald	quarantine
klandur	quarrel
fjórðingur	quarter
Quechua	Quechua
drottning	queen
djeikari	queer
spurningur	query
spurningur	question
røð	queue
skjótur	quick
skjótt	quickly
stilt	quiet
kvirt	quiet
vattteppi	quilt
fara úr	quit
siga upp	quit
gevast	quit
heilt	quite
fullkomuliga	quite
púra	quite
spurnakapping	quiz
sitat	quotation
taka til	quote
sitera	quote
sitera	quotes
hara	rabbit
kappleikur	race
vreiði	rage
regn	rain
reisa	raise
ala	raise
framskorin	raised
rann	ran
tilvildarligt	random
rað	range
skjótur	rapid
í skundi	rapidly
sjáldsamur	rare
óvanligur	rare
dýrur	rare
sjaldan	rarely
útbrot	rash
rotta	rat
stig	rate
heldur	rather
lutfall	ratio
skyndamur	rational
rátt	raw
røkka	reach
rokkið	reached
viðbragd	reaction
lesa	read
lesing	reading
til reiðar	ready
veruligur	real
veruleiki	reality
seta í verk	realize
útinna	realize
setti í verk	realized
álvaratos	really
veruliga	really
afturpartur	rear
orsøk	reason
skynsamur	reasonable
minnast	recall
kvittan	receipt
móttøka	receipt
fáa	receive
taka ímóti	receive
fáa	received
taka ímóti	received
hoyra	received
nýliga	recent
fyri stuttum	recently
stutt síðan	recently
móttøka	reception
uppskrift	recipe
forsin	reckless
afturkenning	recognition
kennast við	recognize
kenna aftur	recognize
viðmæla	recommend
viðmæla	recommended
