ałtsʼíísí	a little
Tsʼídá yéego bee hazʼánígíí	crucial
tʼáá atíʼdoolníiłgo nitsáhákees	cruel
hwił oolwołgo	cruise
shizhįzh	crush
yichah	cry
chʼil naniseʼ yidánígíí	cucumber
ałhxééjisniiʼ	cuddle
óʼoolįįł	culture
tʼáá inaʼadloʼ bóóltąʼgo	cunning
bąąh haʼíizhahí	cup
azaaʼ biih náʼniłí	cupboard
naanázʼáh	curb
náádzííʼ	cure
nádziih	cure
oolkił bikʼehgo yah anínaʼiidáhígíí	curfew
oolkił bikʼehgo naʼadáhígíí	curfew
tʼáá haʼátʼííshį́į́ shił bééhodoozįįł jinízingo	curiosity
haʼalzííd	curious
yishchʼil	curly
béeso	currency
kʼad hoolzhishígíí	current
kʼad	currently
baa hodeetʼą́h	curse
tsósxǫʼgi dánídilbałí	curtain
tsiiʼááł	cushion
bee óʼoolįįł	custom
naʼiiłniihí	customer
óʼoolʼįįł	customs
kʼégéésh	cut
nizhóní	cute
ałhééhwiilzhíísh	cycle
dziʼiz	cycling
azheʼé	dad
azheʼé	daddy
tʼáá ákwii jį́h	daily
chʼiyáán abeʼ biłtahígíí	dairy
daʼdeestłʼin	dam
yichxǫʼ	damage
yáadilá	damn
ditłééʼ	damp
azhish	dance
bááhadzid	danger
bááhadzid	dangerous
chahałhxeeł	dark
tłʼééʼ	dark
shiyázhí	darling
awééʼ	darling
tsxį́į́ł jilį́	dash
naʼaskáaʼgo naaltsoos bee hadilyaaígíí	data
yoołkáłígíí	date
achéʼé	daughter
jį́h	day
ádin silį́į́ʼ	dead
daaztsą́h	dead
bee eʼeʼaah	deadline
ajéékał	deaf
bee ałghaʼdeetʼą́ągo	deal
yaʼátʼééh	dear
Tʼáá Áłtsoh Yaʼátʼééh	Dear All
Naʼiiłniihí	Dear Customer
Yaʼátʼééh	Dear Customer
Yaʼátʼééh amá dóó azheʼé	Dear Parents
Yaʼátʼééh Hastiin	Dear Sir
Yaʼátʼééh daʼółtaʼí	Dear students
Yaʼátʼééh Nidaanéhí	Dear Team
daʼaztsą́h	death
ádin silį́į́ʼ	death
baa nikʼíyatiʼ	debate
ąąh hadaazʼáh	debit
tʼáá haʼátʼííshį́į́ bitsʼą́ą́dóó yidiłdaasígíí	debris
bee ąąh hááʼáhígíí	debt
neeznáá nááhaijįʼ	decade
dííłdzid	decay
ádin silį́į́ʼ	deceased
daaztsą́h	deceased
hoʼdeesdloʼgo	deceive
Níłchʼihtsoh	december
nizhóní	decent
áhwiiniidzį́į́ʼ	decide
bee nihozhniʼą́h	decided
hwiinidzinígíí	decision
dah náhastʼą́h	deck
dooda hodooʼniid	decline
yaa kódzaa	decrease
haʼátʼííshį́į́ ajiłʼínígíí bizhneedlį́	dedicated
bizhdeelkaal	dedication
tʼáá haʼátʼííshį́į́ ajiléehgo	deed
ditą́	deep
bįįh	deer
tʼáá łáhígi átʼéego bá siłkidígíí	default
bikʼeh hodidleeh	defeat
bichʼą́ą́h nijigháh	defend
óolyéhígíí baa haneʼ	define
tʼáá anííh átʼéego	definitely
óolyéhígíí	definition
tʼáá haʼnínígíí	definition
hadoh neiłkidí	degree
nátʼą́ą́ʼ adzaa	delay
nátʼą́ą́ʼ kónályaa	delayed
kʼééʼalchxǫǫh	delete
tʼáá ákodoolníiłgo ádzaa	deliberate
baa hastiʼ	delicate
łikan	delicious
hwił hózhǫ́	delight
ił hózhǫ́	delighted
tʼáadooleʼé jiníyį́įgo	deliver
yilyá	delivered
bił éʼélyaago yilwod	delivery
bee haʼoodzííʼ	demand
ajiłáh	demanding
jókeed	demanding
tʼáá ałtsoh óholnííh bąąh silá	democracy
chʼį́įdii	demon
ííshjání álnééh	demonstrate
dooda hoʼniʼniihgo	denied
haashį́į́ honiłtéelgo	density
haashį́į́ niłtsohgo	density
azeeʼ ííłʼíní awooʼ yinaalnishí	dentist
dooda hoʼdooʼniid	deny
naanish bił hazʼánígíí	department
dashdiigááhdóó	departure
baʼahodlíh	depend
biʼilniiʼ	deploy
yah eeʼnil	deposit
adił nitsáhákees	depressed
adił nitsáhákees	depression
ditą́	depth
hazhóʼó baa haneʼ	describe
baa haneʼí	description
kéyah hóóltséígo	desert
bee akʼihojidlíh	deserve
haʼátʼííshį́į́ alyaa	design
haʼátʼííshį́į́ hadilyaa	design
jideeyáajįʼ	designation
tʼáá íiyisíí nidzin	desire
bikááʼ naʼanishí	desk
doo hwił hasxihjįʼgóó	despair
doo hasxihjįʼ dagóó	despair
hwił nitsééhadááh	desperate
akotʼée nidi	despite
łikání	dessert
adeesdzáajįʼ	destination
náasdi háʼáhootʼéhígíí	destiny
jiłchǫǫhgo	destroy
hoochxǫǫhígíí	destruction
bee baa haneʼí	detail
hazhóʼó bee baa haneʼí	details
bikʼínitáahgo bééhoozįįh	detect
haʼahóníigo éʼalnééh	determination
haʼahoníh	determine
haʼahóníh	determined
yichxóʼ	devastated
hadilnééh	develop
hadilyaa	developed
hadadilyaaígíí	development
hadilyaaígíí	development
tʼáá haʼátʼííshį́į́ béésh łichíiʼii yee naalnishígíí	device
chʼį́įdii	devil
baaʼázhdeetʼą́	devoted
alohkʼeh bąąh dahazʼą́	diabetes
ashįįh łikan atsʼíís yeinístʼįįd	diabetes
atsą́ hodiniih	diarrhea
abeʼ bee ádaalyaaígíí	diary
saad tʼáá haʼnígíí dabikáʼígíí	dictionary
daatsaah	die
daaztsą́h	died
chʼiyáán yidánígíí baaʼákohwiinidzin	diet
bee ałʼąą ádaatʼéhígíí	difference
tʼáá sahdii átʼé	different
nanitłah	difficult
niʼjigeed	dig
naʼageed	dig
ajilį́	dignity
yéego nijilnishgo	diligent
eʼeʼáahgo chʼiyáán yidánígíí	dinner
biih yitiʼ	dip
ahoʼdiʼníigo	direct
abijiníigo	direct
bikʼehgo éʼalnéhígíí	direction
bikʼehgo nidaʼanishí	director
łeezh	dirt
baaʼih	dirty
niłhxin	dirty
doo naalnish da	disable
doo naalnish dagóó alyaa	disabled
doo bééhozin da	disappear
doo hwił yáʼátʼéeh da	disappointed
nitsihodinídéél	disaster
nahgóó ahoolghan	discard
bééʼilniiʼ	discharge
naʼadizhnitaah	discipline
béédooʼnil	discount
bikʼíʼneestą́ą́ʼ	discover
diné báhodoonih	discrimination
baa yátiʼ	discuss
tʼáá haʼátʼííshį́į́ baa yátiʼ	discussion
naałniih	disease
nidaałniih	diseases
doo hwééhozingóó	disguise
baaʼih	disgusting
asaaʼ	dish
asaaʼ	dishes
biʼilnííh	dismiss
bichʼįʼ haneʼ alʼínígíí	dispatch
ííshjání ályaa	display
nahgóó ahalghan	disposal
bee ałghazhditááh	dispute
anizáád	distance
anizahjįʼ	distance
tʼáá ííshjání łahgo átʼé	distinct
ałʼąą naaʼnilgo baa nitsáhákees	distinguish
doo ił hózhǫ́ǫ da	distress
tʼáá haʼátʼííshį́į́ baa yínííł nijigháh	distress
naʼaniih	distribution
bił hahoodzoh	district
naʼniłtłʼah	disturb
bikooh	ditch
taahyilwod	dive
tʼáá ałʼąą ádaatʼéhígíí	diverse
ałʼąą ádaatʼéhígíí	diversity
ałtsʼá daadzoh	divide
diyin	divine
ałtsʼáʼitʼaash	divorce
hwił nahoniyil	dizzy
daʼ niiísh?	do you
daʼ ayóóʼáshííniʼníh	do you love me
azeeʼ ííłʼíní	doctor
naaltsoos bee éédahozinígíí	document
adzaa	does
nida	doesn't
dooda	doesn't
łééchąąʼí	dog
ajiléehgo	doing
awééshchíín	doll
naatʼáanii bił hahoodzoh	domain
hooghan hazʼánígíí	domestic
yéego bidziilgo	dominant
tʼáadoo	don't
tʼáadoo baah níneʼí	Don't worry
tʼáadooleʼé diné baa jiléehgo	donate
ałtsoh ályaa	done
télii	donkey
nátʼoh tsiʼnaʼiiłáhí	dope
naakigo	double
hwił naaki nilį́	doubt
taosniiʼ	dough
yaago	down
bééʼalyaa	download
naaltsoos ałtsé bee haʼdilyaaígíí	draft
jooshoł	drag
bąąh hááʼéél	drain
bąąh haaʼoł	drain
haashį́į́ hootʼįįh	drama
naʼachʼąąʼ	draw
análzhoʼí	drawer
niʼjichʼąąh	drawing
bichʼįʼ neʼjilį́h	dread
naʼiizeeł	dream
ééʼ tłʼaakał	dress
bee naʼihonitaah	drill
yidlánígíí	drink
adlą́h	drink
oołbąs	drive
naaltsʼid	drop
naaltsʼid	dropped
hoołtséí	drought
hazgan	drought
hwił honeezdoh	drunk
hwił nahoniyil	drunk
yíłtséí	dry
naaleełí	duck
ashkii	dude
hastiin	dude
yidziih	due
binahjįʼdo	due to
tʼóó átʼé	dull
diigis	dumb
yah iikąh	dump
yaaką́h	dump
biyiʼ hoolzhishígíí	duration
biyiʼ hoolzhish	during
łeezh	dust
naanish	duty
haghan	dwell
biʼniitsą́ągo	dying
tʼáá átʼé	each
tʼáá ájiłah	each other
tsxį́įłgo ádeeshdlííł hwiinidzin	eager
atsá	eagle
ajaaʼ	ear
tʼáá aniidígo	earlier
tʼáadoo hodinaʼí	early
joosbą́h	earn
ajaaʼ	ears
nahasdzáán	earth
kéyah hideesnááʼ	earthquake
hazhóʼógo	ease
doo nanitłʼahgóógo	easily
haʼaʼaah	east
doo nanitłʼah da	easy
adą́	eat
iyą́	eating
béeso dah hólǫ́	economic
ajitį́h	economy
bidáaʼgi	edge
bidáaʼdi	edge
naaltsoos ninánélʼį́įgo hashtʼeelnééh	edit
óhooʼaah	education
aanídóotʼiiłgo	effect
hweidínóotʼįįłgo nijólíhígíí	effect
tʼáá haʼátʼííshį́į́ idééłníigo naalnishígíí	effective
ideełnínígi átʼéego	efficiency
tʼáá haʼátʼííshį́į́ yáʼátʼéehgo alį́nígíí	efficient
tʼáá hó ájitʼéego	effort
ayęęzhii	egg
adaaʼáhodlíh	ego
tseebíí	eight
tseebíítsʼáadah	eighteen
tseebídiin	eighty
tʼáá háídígíí dah	either
tʼáá háídíí shį́į́	either
baa yátiʼ	elaborate
achʼoozhlaaʼ	elbow
hastiin náás silį́ʼígíí	elder
asdzą́ą́ náás silį́ʼígíí	elder
sáanii náás silį́ʼígíí	elderly
hastóí náás silį́ʼígíí	elderly
nizhóní yeeʼ	elegant
tʼáá haʼátʼííshį́į́ biyiʼgo ályaaígíí	element
bichį́į́h yee adilohii	elephant
łaʼtsáadah	eleven
bee háʼahootʼiʼ	eligible
nahjįʼ atsʼáhoʼdooltʼeʼ	eliminate
baa yáhwiiniidzííʼ	embarrassed
tʼóó baa yáhasin	embarrassing
ádizhdiiltsood	embrace
tʼáá haʼátʼííshį́į́ haayáago	emerge
nitsihodiniłgo	emergency
hatah áhootʼéhígíí	emotional
aahojoobaʼ	empathy
yéego bóholníhígíí	emphasis
tʼáá haʼnínígi átʼéego	emphasize
naalnishí	employee
nidaalnishí	employees
bá nidaʼanishí	employer
naanish	employment
biyi ádin	empty
naalnishgo alnééh	enable
ałkʼíhonítʼiʼ	encounter
saad yáʼátʼéhígíí	encourage
neʼ ádzaa	end
báádahadzidii hwinoolʼáaʼgo	endangered
naʼádizhnitaah	endeavor
achʼįʼ nahwiiʼnáh	endurance
biyiʼ tázhdigháahgo	endure
biyiʼ hwił hoolzhishgo	endure
anaʼí	enemy
níłchʼih	energy
naanish ajilééh	engage
naanish ajilééh	engaged
iigehgo bee nihootʼánígíí	engagement
tʼáá haʼátʼííshį́į́ bee nihootʼánígíí biniiyé áadi jidoogáłígíí	engagement
chidí bitsiitsʼiin	engine
diné tʼáá haʼátʼííshį́į́ haidileʼgo áyooliiłígíí	engineer
Bilagáana	English
náás hideesnilgo ályaa	enhance
nizhónígo	enjoy
nitsxaaz	enormous
bíighah	enough
ííshją́ą́shį́į́	ensure
yah eʼedááh	enter
honeenih bił náhootʼaahígíí	entertainment
bizhneedlį́h	enthusiasm
bóhoneedlínígíí	enthusiastic
tʼáá átʼé	entire
tʼáá ałtsoh	entire
hó silį́įgo	entitled
tʼáá haʼátʼííshį́į́ hólǫ́ǫgo	entity
yah ahootiʼídę́ę́ʼ	entrance
naanish yiyoołwołí	entrepreneur
naaltsoos bee bił éʼalʼínígíí	envelope
hanagóó áhootʼéhígíí	environment
tʼáá haʼátʼííshį́į́ diné bíhígíí bee shídooleeł bee laanaa hwiinidzin	envy
ałkʼidą́ą́ʼ haneʼígíí	epic
naałniih neesniiʼ	epidemic
ałhxeełtʼé	equal
bee nidaʼanishí	equipment
ahił ídį́h	equity
tʼáá ałhxeełtʼéego	equivalent
tʼáá ałhxeełtʼéhígíí	equivalent
bee akʼééʼalchxǫǫhí	eraser
isdzih	error
chʼélwod	escape
eii tʼáá íiyisíí	especially
naaltsoos haneʼ bee hadilyaaígíí	essay
tʼáá haʼátʼííshį́į́ átʼéhígíí	essence
íiyisíí bóholnííh	essential
hadilnééh	establish
hazhdiilaa	established
kéyah ił hahoodzooígíí	estate
daatsʼí bíighahígíí	estimate
daatsʼí hwiinidzinígíí	estimated
doo ninítʼiʼ da	eternal
naʼnitin bee ayaahooʼaʼ bee ájitʼéhígíí	ethics
nátʼą́ą́ʼ nináʼalkaahgo bee íʼneelʼąąh	evaluate
nátʼą́ą́ʼ nináʼalkaahgo bee íʼneelʼąąhígíí	evaluation
ałhxeełtéego	even
tʼáá ákótʼée nidi	even though
eʼeʼaah	evening
bił hoohaaígíí	event
akotʼéego	eventually
tʼáá átʼé	every
dinéʼ tʼáá ałtsoh	everybody
diné tʼáá ałtsoh	everyone
tʼáá ałtsohní	everything
binahjįʼ bikʼíʼneetąʼígíí	evidence
iiníziin	evil
hoolzhishdę́ę́ʼ dahinánígíí dahazlį́į́dą́ą́ʼ	evolution
tʼáá hazhóóʼígo aníił	evolve
ahastiinée	ex
eʼasdzánée	ex
tsʼídá tʼáá ákotʼé	exact
tsʼídá tʼáá ákotʼé	exactly
hazhóʼó nélʼį́	exam
hazhóʼó nélʼį́	examine
binahjįʼ haneʼí	example
bilááh eʼelyaa	exceed
nizhóní	excellent
nizhdiiʼaah	except
nahjįʼ kólyaa	exception
bilááh anéeltʼeʼ	excess
tʼóó ahayóí	excessive
ałnááʼilyá	exchange
ił hózhǫ́	excited
baa hwił hózhǫ́	excitement
bóhoneedlį́h	exciting
tʼáá haanídzahjįʼ shį́į́ tʼéíyá bee hazʼą́h	exclusive
biniinaaígíí	excuse
biʼilííh	excuse
bee shá náhoołʼaah	excuse me
biʼdeezhnish	execute
bidaʼdeezhnish	execution
naatʼáanii aląąjįʼ bił hahodítʼéhígíí	executive
hatah áhoshdilzééh	exercise
chʼééh adeesdzáh	exhaust
chʼééh adeesdzáh	exhausted
tʼáadooleʼé danélʼínígíí	exhibit
tʼáadooléʼé danélʼínígíí	exhibition
hólǫ́	exist
hináago	existence
hólǫ́ǫgo	existence
chʼéʼádááh	existing
chʼíhonítʼiʼ	exit
chʼéʼétiin	exit
ałtsʼąą kódzaa	expand
nijólí	expect
naʼólníh	expected
bikʼéh nidaʼiilyéhígíí	expenses
ayóo ilį́	expensive
biyiʼ hwił hoolzhiizhígíí	experience
naʼalkaahgo bee naʼíhonitaahí	experiment
yéego yee ééhosinígíí	expert
bee eʼííʼą́h	expired
hazhóʼó baa haneʼ	explain
hazhóʼó baa haneʼ	explanation
tʼáá hó bee izhdootʼįįł biniiyé áʼjiléehgo	exploit
haʼnitáh	explore
haʼdéestʼį́į́ʼ	explore
nááná łahgo bił éʼelnééh	export
ííshjání ályaa	expose
ąąʼályaago ííshjání ályaa	exposed
bee ííshjání ályaa	exposure
saad bee hajoodzííʼ	express
baa nitsíjíkeesígíí baa yájiłtiʼ	expression
náás iʼnił	extend
náás deestʼą́	extended
bighą́ąhjįʼ bináániideeʼ	extension
hazʼą́ągi bikʼéstiʼígíí	extent
tłʼóodi	external
ábiʼniidiid	extinct
ádaasdiid	extinct
łaʼ biʼąą noodahígíí	extra
nahjįʼ haatʼaah	extract
tʼáá íiyisíí nizhónígo łahgo átʼé	extraordinary
yéego	extreme
yéego	extremely
anááʼ	eye
anááʼ	eyes
naatʼą́hí	fabric
nizhóní	fabulous
aniiʼ	face
bikʼih adéestʼį́į́ʼ	facilitate
tʼáá haʼátʼííshį́į́ bił nahazʼánígíí	facilities
haʼátʼííshį́į́ bił hazʼánígíí	facility
tʼáá aníinii	fact
ádaatʼéhígíí	factor
tʼáá haʼátʼííshį́į́ ádaaneʼgo bił hazʼą́ągi	factory
tʼáá aníí haneʼ	facts
yiibaʼ	fade
chʼééh ajitʼį́h	fail
biʼoh jidineesdlį́į́ʼ	failed
chʼééh aalʼįįd	failure
bił chʼaah hazlį́į́ʼ	faint
bíighah	fair
ałhxeełtʼéego aanitsáhákees	fairly
diné yázhí nidaatʼaʼígíí	fairy
oodląʼ	faith
ajoodlą́h	faithful
tʼóó átʼé	fake
tʼóó binahjįʼ átʼé	fake
akʼee	fall
doo tʼáá aníi da	false
diné hwéédahosin	fame
tʼáá bééhoziní	familiar
hooghan hazʼánígíí	family
hooghan hazʼą́ągi	family
yéego biʼoh daazlį́į́ʼ	famine
bééhoʼdilzin	famous
bee hookʼazí	fan
nizhóní	fancy
yéego nizhóní	fantastic
nizaad	far
hágoóneeʼ	farewell
naaldlooshii shijéʼígi	farm
diné bilį́į́ʼ hólónígíí	farmer
yéego bizhneedlį́	fascinating
ééʼ bee hazhdítʼéhígíí	fashion
tsxį́įłgo	fast
ayóí áábid	fat
nitsxaaz	fat
yéego áhoodzaa	fatal
tʼáá áhoonéehgo átʼé	fate
azheʼé	father
chʼééh adeesdzáh	fatigue
akʼihodiitʼą́h	fault
hwił yáʼátʼéhígíí	favorite
bichʼihjí adlínígíí	favour
aláahdi hwaanitsáhákees	favourite
náhadzid	fear
bááhádzid	fear
chʼiyáán bee ałhíʼiildééh	feast
atsʼos	feather
atʼáh	feather
bee ííshjání alnéhígíí	feature
nidaashchʼąąʼgo ádaatʼéhígíí	features
Atsábiyáázh	february
adeʼádzaa	fed up
bą́ą́h alʼį́h bikʼéh niʼdoolyéłígíí	fee
biʼiidą́	feed
nátʼą́ą́ʼ bee ił náháneʼ	feedback
haʼátʼeʼ	feel
ajitʼéhígíí	feeling
akeeʼ	feet
jideezgoʼ	fell
adah ajiigoʼ	fell
diné	fellow
biʼáád	female
anitʼiʼ	fence
kʼiʼdilyé bíighah	fertile
honeenih bił hooʼaahígíí	festival
jiiłtsood	fetch
atah honiigááh	fever
tʼáá dikwíhí	few
tʼáá díkwíhí	fewer
béeso nanideehígíí	fiance
haneʼ tʼóó alyaaígíí	fiction
hazʼą́ągi	field
atsʼájidoolnih	fierce
hatsáhoniyééʼ	fierce
ashdlaʼtsʼáadah	fifteen
ashdladiin	fifty
ahigáh	fight
ahijigą́	fighting
naashchʼąąʼígíí	figure
baaʼákohwiiniidzį́į́ʼ	figure out
naaltsoos sinilígíí	file
haʼdibin	fill
haʼdéébiid	filled
naalkidí	film
baaʼih	filthy
kʼad índa	finally
béeso nanideehígíí	finance
béeso nanideehígíí	financial
haʼdeestʼį́į́ʼ	find
haʼnitáh	find
bééhozin	find out
nizhóní	fine
alázhoozh	finger
ałtsoh ályaa	finish
ałtsoh ályaa	finished
kǫ	fire
nitłʼiz	firm
ałtsé	first
aląąjįʼ yízhí	first name
łóóʼ	fish
bíighah	fit
ashdlaʼ	five
hashtʼeelnééh	fix
hashtʼe nályaa	fixed
dah naatʼaʼí	flag
tsxį́įgo diiltłah	flash
haztłééʼ	flat
isdzih	flaw
nizhóní doo asdzih da	flawless
dah yiiteʼ	flee
atsʼíískááʼ	flesh
yitʼaʼ	flew
nanileeł	flex
naatsʼǫǫd	flexible
naanileeł	flexible
ootʼah	flight
názbaal	flip
adáhoneeníigo achʼįʼ yátiʼgo	flirt
niʼjishood	flirting
dah naaʼeeł	float
tó yiląąd	flood
neʼgi	floor
neʼgóó	floor
akʼáán	flour
yinah	flow
chʼilátah hózhǫóón	flower
atah honiigááh	flu
doo bił nanitłʼah da	fluent
tʼáá ałhxą́ą́h	fluently
yilzhóólí	fluffy
tʼáá haʼátʼííshį́į́ bitooʼ	fluid
yitʼah	fly
hazhóʼó baa nitsáhákees	focus
áhí	fog
ayóo áhí	foggy
ałghą́ą́niilyáh	fold
diné	folks
bikééʼ hootʼih	follow
ninááhodiʼnélʼį́h	follow up
bikééʼ oodááł	following
chʼyáán	food
diigis	fool
doo ahalyą́ą da	foolish
akeeʼ	foot
jooł yitalí	football
biniiyé	for
binahjįʼ haneʼígíí	For example
jó ákotéego éí	for instance
ni ná	for you
doo bee hazʼą́ą da	forbidden
bizhdigoh	force
níłchʼih átʼéhígíí	forecast
atááʼ	forehead
nááná łahdę́ę́ʼ átʼéhígíí	foreign
tsintah	forest
tʼáá hoolʼáágóó	forever
baa hoosnah	forget
baa hoonééh	forget
hwaaníʼdeetʼaah	forgive
bahayoosnah	forgot
bilaʼ dį́įʼii	fork
naaltsoos hadilnéhígíí	form
íiyisíí biniiyé hooʼaah	formal
íiyisíí biniiyé hazʼánígíí	formal
nítʼę́ę́ʼ	former
baa ił hózhǫ́ǫgo	fortunately
tʼáá haʼátʼííshį́į́ naalyéhí hweehólǫ́ǫgo	fortune
ajitʼį́h	fortune
dízdiin	forty
dízdiin dóó biʼąą naaki	forty-two
náasjįʼ	forward
náás	forward
baaʼáhayą́	foster
ahijooghą́ą́ʼ	fought
chóoztʼeʼ	found
bikʼíʼneetą́ą́ʼ	found
bee akékʼah hashchíín	foundation
dį́į́ʼ	four
dį́į́ʼtsʼáadah	fourteen
maʼiiłtsooí	fox
diltǫʼ	fragile
ditʼóódí	fragile
bibąąh názáhí	frame
hooghan bánidaazʼáhígíí binaʼanish	framework
yoochʼííd nahaadeełgo iʼdeesdloʼ	fraud
tʼóó diigis	freak
tʼáá jiikʼeh	free
tʼáá hó jinizingóó naʼadáh	freedom
yistin	freeze
tʼáá ałhxą́ą́h áhooníił	frequency
tʼáá ałhxą́ą́h	frequent
tʼáá ałhxą́ą́h	frequently
aniidí	fresh
Nidaʼiiníísh	friday
biiʼatiní	fridge
akʼis	friend
haʼáhwiinítʼį́į́ʼ	friendly
diné bił ałhééhojilzinígíí	friends
diné bił ałhééhojilzin	friendship
níjisdzííd	frightened
náhadzid	frightening
chʼał	frog
áádę́ę́ʼ	from
bilą́ąjįʼ	front
bitéél	front
yistin	frozen
chʼiyáán naniseʼ	fruit
ádahozhdeelá	frustrated
atooʼ	fuel
chidí bitooʼ	fuel
haʼdeezbin	full
bóhoneedlį́h	fun
bikʼehgo naʼanishí	function
bee akékʼeh áhooyaaígíí	fundamental
atsʼíís yóóʼalnééh	funeral
baa dloh hasin	funny
aghaaʼ	fur
háhachxįʼ	furious
hooghan góneʼ bee hahodítʼéhígíí	furniture
honeʼí silnilí	furniture
tʼáá náasdi	further
náábiláahjįʼ	furthermore
náás hoolzhishgóó	future
biniideeʼ	gain
daaneʼé	game
deeshgiizh	gap
chidí yah análbąs góneʼ	garage
tsxiilzéí	garbage
daʼakʼeh	garden
naniseʼ	garlic
daniʼditíhį́	gate
ałhxaʼádzaa	gather
ałhxąʼájiléehgo	gathering
bee íʼneelʼąąhgo yaa halneʼígíí	gauge
baazhníʼąh	gave
bee iʼiilkeedí	gear
diné doodago asdzání idlínígíí	gender
tʼóó átʼéhígíí	general
ákótʼéego	generally
hadilnééh	generate
alnééh	generate
anooséłígíí	generation
haʼáhwiinítʼį́	generous
ayóo hwił ééhozingo	genius
haneʼ ałʼąą ádaatʼéhígíí	genre
yizhǫǫh	gentle
hazhóʼó	gentle
tʼáá aniinígíí átʼé	genuine
alá bee nizhdilniihgo	gesture
ééʼ biih niʼnééh	get dressed
nídiidááh	get up
tʼáadoo hodinaʼí hashtʼeʼ nináʼdoodááł	get well soon
nídiilyéego	getting
chʼį́įdii	ghost
doo hweenítʼį́į da	ghosting
yeʼiitsoh	giant
haaʼilyé	gift
niniseʼ	ginger
atʼééd	girl
chʼikʼę́ę́h	girl
eʼetʼééd	girlfriend
aajiléh	give
aayítʼaah	give
bizhníłniiʼ	give up
baa yitʼą́h	given
baa ił hózhǫ́	glad
bikʼíʼdeesgal	glance
tózis	glass
tózis	glasses
nákʼee sinilí	glasses
bikʼizh deezghalgo	glimpse
nahasdzáán	global
doo ił hózhǫ́ǫ da	gloomy
lágish	gloves
diltłiʼ	glow
diiltłah	glow up
bee ídaʼdiiljeehí	glue
yiwohjįʼ	go ahead
niwohjįʼ	go away
iłwosh	go to bed
ałą́ąjįʼ bee ádánihozhníʼánígíí	goal
bikáh ahátʼínígíí	goals
tłʼízí	goat
diyin	god
diyin nikʼijidlíi dooleeł	god bless you
ákǫ́ǫ́h deyá	going to
óola	gold
ádin silį́į́ʼ	gone
nizhoní	good
yaʼátʼééh	good
yaʼátʼééh	good afternoon
hágoóneeʼ	good bye
nizhónígo neeʼooʼááł dooleeł	good day
yaʼátʼééh	good evening
nizhónígo íinilaa	good job
nizhóní nahalin	good looking
nikʼih hojidlíi leʼ	good luck
yaʼátʼééh	good morning
yaʼátʼééh abiní	good morning
yaʼátʼééh, shichʼooníh	good morning my love
nizhónígo íłhwosh	good night
hagoóneeʼ	goodbye
íłwosh	goodnight
nizhónígo íłwosh	goodnight
tʼáá haʼátʼííshį́į́ naadeełii	goods
Google Saad Bee Háádilʼínígíí	Google Translate
naaleełí	goose
nizhóní	gorgeous
saad chxǫ́ʼí	gossip
nizhdiiláago	got
bíighah	got it
naatʼáanii bił hazʼą́ągi	government
yizhjih	grab
anéeltʼeʼ wóltaʼígíí	grade
tʼáá hazhóóʼígo	gradually
niʼiltááh	graduate
tłʼoh	grain
béeso achʼįʼ kólyaaígíí	grant
béeso bee aahojoosbaʼígíí	grant
bee hahojoosbaʼ	granted
chʼil naʼatłʼoʼii	grapes
jizhshih	grasp
chʼil	grass
baaʼahxééhwiinidzin	grateful
ahxééhwiinidzin	gratitude
łeʼhwiiníiłgi	grave
łibá	gray
yaʼátʼééh	great
Nizhóní	great
doo hwił hadlee da	greed
doo ił hadleeʼ da	greedy
chʼilgo dootłʼizh	green
tátłʼidgo dootłʼizh	green
kʼézhnídzin	greet
kʼéhwiinidzin	greeting
kʼáhwiinidzin	greetings
łibá	grey
ałnádaʼasdzoh	grid
chʼéénáh	grief
yikʼáh	grind
jizhjih	grip
jótąʼ	grip
chʼiyáán nahaniihígíí	grocery
chʼiyáán	grocery
hastiin iiyehígíí	groom
baaʼih	gross
neʼgóó	ground
dah naazhjaaʼígíí	group
anoosééł	grow
anoosééł	growth
naʼachxǫʼ	grumpy
tʼáá aníí dooleełgo tʼáá anii	guarantee
haʼasídí	guard
shąʼshin	guess
diné hweegháhígíí	guest
bikʼeh adéestʼį́į́ʼ	guidance
bikʼeh áhodooníłígíí	guide
doo hazhóʼó haneʼ da	guilty
ashkii	guy
hastiin	guy
diné	guys
jooł bee nidaʼanéé góneʼ	gym
ájootʼįįįłígíí	habit
ájítʼínígíí	habit
kééhojitʼínígi	habitat
nilǫ́h	hail
nichííł bił níiyol	hail
tsiighá	hair
ałnííʼ	half
hahodiiláh	hall
alá	hand
ádoolníłígíí	handle
nizhóní	handsome
dah naalchʼąął	hang
taʼdidááh	hang out
ádzaa	happen
áhoodzaa	happened
ił hózhǫ́	happiness
hóxhǫ́	happy
Niʼdizhchínę́ęjįʼ anínáhoolzhiizhígíí baaʼáhxééhwiinidzin	happy birthday
baa hózhǫ́ǫgo niʼdizhchínéejįʼ anínááhoolzhiizh	happy birthday to you
baa hózhǫ́ǫgo nááhai	happy new year
nitłʼiz	hard
nanitłʼah	hard
doo tʼáá ałhxą́ą́h da	hardly
doo tʼáá ałhxą́ą́h da	hardly ever
atíʼjilééh	harm
bááhadzidii	harmful
hózhǫ́	harmony
tʼáá naʼnileʼdii	harsh
daʼneestʼą́h	harvest
áhodoonih	hate
nizhónígo neeʼadooʼááł	have a good day
